Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary,score,ranking
Carnegie Mellon University,3.970452545809526,5.758016455749967,2.085415170558969,3.833785786841746,18.363976711300424,1
Univ. of Illinois at Urbana-Champaign,2.82819574442298,5.001800442998575,1.537558961094825,2.1463962717406067,14.230258172597203,2
Univ. of California - San Diego,2.090289914190028,3.651208633564123,1.0427267030488236,2.41248908712304,11.91302109026623,3
Massachusetts Institute of Technology,1.8831460995155334,3.4020367670038816,1.3005363510102603,1.9368810236561038,11.238906993525996,4
Georgia Institute of Technology,1.8120679761753342,3.042271368746268,0.7171349454490086,2.1990792984436713,10.486860341154498,5
Stanford University,2.0257877049970032,2.1824054238566024,1.104438434174187,2.325732335444569,10.354670650812578,6
University of Michigan,1.8372785303134729,3.2903795410948464,0.8831922242484725,1.416482058511687,10.143639106508695,7
University of Washington,1.7270194943757453,2.4376914165161017,1.0288728599473203,2.0933584358055386,10.003248958984923,8
Univ. of California - Berkeley,1.5072801633647621,2.748368929299292,1.1542052972449819,1.4611227235286557,9.587283865777907,9
Cornell University,2.027939481695234,2.167725507176906,1.016446572863097,1.5211673602278117,9.449585674303265,10
University of Maryland - College Park,1.6439952695396358,1.5855747289055624,0.500259611919512,2.0118460439715418,8.457982406676468,11
Northeastern University,1.149238527275443,1.9261210966825681,0.8367296713869339,1.061961528857137,7.690357576542298,12
University of Wisconsin - Madison,0.8968793327830696,2.157601270806741,0.7126955989329173,0.7975901294556577,7.281073084318602,13
Columbia University,1.2166089317081954,1.5544147758091396,0.6581049606061361,0.9178363361295793,7.063271756593267,14
Purdue University,0.827228774725313,2.07373929200945,0.627965201611214,0.7229833018567337,6.9682233225429275,16
University of Texas at Austin,1.1401263791763285,1.879319587494963,0.8787275853358096,0.38500124567315525,6.999481550020473,15
University of Pennsylvania,1.1400172819068868,1.557629090961384,0.5624690614452379,0.8542401979291729,6.830662384582897,17
Princeton University,0.8293628592852743,1.3550974892543952,0.4604170750844014,0.7971161575565742,6.158300333520861,18
University of Massachusetts Amherst,1.2406516776398513,1.2491484366482095,0.060605636192602834,0.5933971731946934,5.860109676015573,19
New York University,0.9660721995542152,0.7226007569158467,0.5981959807928312,0.6911341300486387,5.694309819651748,20
University of Southern California,0.9998936999629602,1.162174227953467,0.24280729949979662,0.38133427961828903,5.502516259374729,21
Univ. of California - Los Angeles,1.1344604363801927,0.9877328920467935,0.5998318624230455,-0.15681124625832216,5.281520696931926,22
Stony Brook University,0.7411115069704801,0.8554442912284632,0.3278276374154681,0.5671068109083878,5.2077969988630155,24
University of Chicago,0.38071085736393917,1.5768547950452088,0.21563861914813107,0.3413175559937509,5.230828579891246,23
Univ. of California - Irvine,0.544479903412386,1.266957208113592,0.1320224540177198,0.415323685936045,5.075090003819959,26
Univ. of California - Santa Barbara,0.7542441492538244,1.1457982944295748,0.3768409049557076,0.1398428265600546,5.133032927539378,25
Rutgers University,0.9617640475607256,0.344286005588467,0.143955632540913,0.4827303060277092,4.649042744058031,27
Duke University,0.6218422323218106,0.8214532653447483,0.15270221166329817,0.21903821457643127,4.5313426762465046,28
Univ. of California - Riverside,0.211334214627727,1.5827413993323147,0.01710310939360981,-0.060604892153765695,4.466880583540102,29
Northwestern University,0.24776967873218972,0.7595531549051725,0.11505011564069359,0.4823453037419066,4.321025005360179,31
Pennsylvania State University,0.6283373007463965,1.159683817113944,-0.09858622247491786,-0.061295865984216054,4.344445781741423,30
University of Utah,0.20294354297281195,0.532289340940211,0.024739624109112516,0.5365915104838027,4.012870770846154,32
George Mason University,0.3228244695181849,0.395060505594624,-0.047760377494067585,0.5282577428785266,3.914689092837484,36
Harvard University,0.4686219541731595,0.3048347242321799,0.17501478220320973,0.32519838600742684,3.989976598956192,33
Ohio State University,0.41751050496763664,0.8834605313808388,-0.0468022895954672,-0.06309120914800367,3.9073842899452207,37
Texas A&M University,0.4471872746524166,0.39758240853113463,-0.11419545481205853,0.49364916851289603,3.940530149224605,34
Univ. of California - Santa Cruz,0.476092950603563,0.3470986406735479,0.13555614027716867,0.22036696236723918,3.895421446261735,38
Yale University,0.11476764099396639,0.4378540182465594,0.3842528162145004,0.2728050229435194,3.9259862507387617,35
Boston University,0.48128808606035944,0.37706582714539216,0.27998918962616653,-0.18497508718490713,3.6696747679872272,41
Brown University,0.38522942124665355,-0.03000092759765483,0.12176100130773623,0.565109071424576,3.758405318721527,39
North Carolina State University,-0.15090652600171467,0.9520892277496069,-0.003502848962038771,0.24374465199101294,3.7577312571170824,40
University at Buffalo,0.4858633162333951,0.49726338389964686,0.04525367809247802,-0.14168592808870883,3.6030012024770275,42
Rice University,0.3860829501170407,0.3232178789826078,0.09746319841080772,0.0032751836799189624,3.5263459635305914,43
University of Colorado Boulder,0.13125361045707273,0.07574155582920727,-0.0072685625923629114,0.4836360062139483,3.3996693622480816,47
University of Illinois at Chicago,0.6115404100524425,-0.033786508814937666,0.12293111545641862,0.0008312275197935592,3.4178229965539333,45
University of North Carolina,0.5641557873408862,-0.03282003949426555,-0.11004953784140267,0.2945392174406443,3.4321321797860787,44
University of Virginia,0.353460490713383,0.4399504176224317,-0.006316189897301674,-0.10162190646993637,3.401779564308793,46
Arizona State University,0.4783563441828534,0.22036756475509234,-0.12418729767241204,0.0007519849153265756,3.2915953485210765,50
University of Minnesota,0.24965839013546354,0.26998522441608835,-0.1759774116814047,0.31330021718124407,3.3732731723916074,49
Virginia Tech,0.09209045694445306,0.43735875857238304,-0.09259773134983029,0.22375696333936118,3.376915199846583,48
Univ. of California - Davis,0.04835557681936311,0.20521349596750216,0.014606164822027552,0.05555813954851897,3.040040129497628,51
Johns Hopkins University,0.5430296126814648,-0.48553274390788403,0.23365080949435088,-0.17440915199346244,2.8330452786146854,53
