,u1,u2,score,ranking
2013-01-01,-238.49675000000002,-107.00325000000001,0.35197323182507123,1346
2013-01-02,872.95175,-101.45175,0.8099672049423329,229
2013-01-03,467.81375,198.68625,0.7668460695533315,334
2013-01-04,173.3025,-124.8025,0.5288360273275305,952
2013-01-05,-676.405,-114.095,0.17920485757967541,1791
2013-01-06,-663.70925,125.20925,0.2766752687525549,1539
2013-01-07,-840.40225,-26.097749999999998,0.13641485822466756,1867
2013-01-08,725.75775,132.74225,0.8482830280109844,142
2013-01-09,178.96075,-207.46075,0.4939652409074441,1029
2013-01-10,409.485,-2.985,0.6639723009715133,594
2013-01-11,-837.1835,-161.3165,0.023190315473298483,1999
2013-01-12,904.73475,-178.23475000000002,0.7884585224206664,274
2013-01-13,661.9290000000001,190.571,0.8472416033092196,148
2013-01-14,-570.5885000000001,-179.9115,0.19772036276613997,1751
2013-01-15,-616.6385,17.1385,0.25194411022072394,1600
2013-01-16,-613.771,-39.729,0.22894272840288837,1654
2013-01-17,-371.81075,-68.68925,0.31286245961939874,1441
2013-01-18,40.98625,189.51375000000002,0.5997718144432448,770
2013-01-19,-133.7515,-214.7485,0.3499206942687905,1349
2013-01-20,-393.8755,81.3755,0.36574124939355135,1313
2013-01-21,227.88975,230.61025,0.6821612026206136,542
2013-01-22,-699.039,28.539,0.22362872521400184,1671
2013-01-23,-393.9875,203.4875,0.4210802112347929,1191
2013-01-24,-263.365,-211.135,0.3035410504921581,1475
2013-01-25,-91.89500000000001,-36.605000000000004,0.44861465118846106,1129
2013-01-26,563.90125,-112.40125,0.6801723273068212,549
2013-01-27,-576.3050000000001,113.805,0.30590321872283377,1463
2013-01-28,23.84075,228.65925,0.6076469688303386,748
2013-01-29,161.22224999999997,-120.72225,0.5252376675784836,960
2013-01-30,-870.06125,56.56125,0.16799525047081307,1814
2013-01-31,190.88425,-149.38425,0.5256554080730987,959
2013-02-01,-639.3512499999999,31.85125,0.24948534986415521,1608
2013-02-02,-831.87225,-21.62775,0.14482777172589087,1854
2013-02-03,811.958,173.542,0.9535094957289741,15
2013-02-04,880.22325,54.27675,0.8942110809989408,66
2013-02-05,610.9265,-70.4265,0.7166191529105327,460
2013-02-06,-378.983,-183.517,0.2665101723162832,1563
2013-02-07,-761.988,-149.512,0.10838705695209402,1912
2013-02-08,352.04625,-133.54625000000001,0.5924498071999726,782
2013-02-09,-119.1585,-112.3415,0.4023153272597407,1232
2013-02-10,-725.546,167.046,0.26775379944405064,1559
2013-02-11,-23.358,25.858,0.5083860857455211,998
2013-02-12,-879.56575,3.06575,0.13218899916704802,1877
2013-02-13,801.1622500000001,-171.66225,0.7504100960368691,371
2013-02-14,-452.09225000000004,176.59225,0.3790519239499005,1276
2013-02-15,320.9715,110.52850000000001,0.6745806881248824,569
2013-02-16,-366.94475,-205.55525,0.26290253325152907,1573
2013-02-17,31.562,101.93799999999999,0.5576214363882024,867
2013-02-18,80.77725000000001,23.722749999999998,0.5460758669431529,896
2013-02-19,-620.77475,-200.72525000000002,0.1642286335697773,1822
2013-02-20,898.70475,-2.2047499999999998,0.8673278305173783,104
2013-02-21,546.9265,-4.4265,0.7170455161149011,458
2013-02-22,856.6927499999999,-139.19275,0.7847540612840065,283
2013-02-23,757.85575,190.64425,0.9050015097421755,52
2013-02-24,191.49775,173.00225,0.6483150573450005,636
2013-02-25,820.50225,83.99775,0.8713038554843151,96
2013-02-26,-798.24275,-26.25725,0.16325311384165703,1825
2013-02-27,-587.43775,-38.06225,0.2391393982522179,1626
2013-02-28,-872.6959999999999,54.196,0.16637652455862129,1819
2013-03-01,-328.32275,26.82275,0.36935063849199257,1302
2013-03-02,-215.42275,-200.07725,0.32339645292796276,1416
2013-03-03,-433.06025,10.56025,0.31957975517318304,1423
2013-03-04,656.352,147.148,0.8242707307681114,197
2013-03-05,-267.52375,-10.97625,0.377250636874263,1279
2013-03-06,-425.994,-212.506,0.2351389232607583,1639
2013-03-07,75.90675,138.59325,0.5914125064034055,786
2013-03-08,-697.9025,-139.5975,0.153012136407005,1838
2013-03-09,597.3045,-113.80449999999999,0.6934817515808395,517
2013-03-10,-799.606,-142.894,0.09258178563027585,1943
2013-03-11,926.731,-54.230999999999995,0.8555525622547133,128
2013-03-12,546.515,126.985,0.769146116575053,327
2013-03-13,-583.84225,10.34225,0.26284971712812544,1574
2013-03-14,-880.631,-110.869,0.04539394852902443,1992
2013-03-15,631.7645,180.7355,0.8279351583942756,188
2013-03-16,415.0575,185.4425,0.7414022460683996,400
2013-03-17,460.207,181.293,0.7573214194419913,359
2013-03-18,533.328,-124.828,0.6647755196250645,592
2013-03-19,-817.3857499999999,-27.11425,0.1494835902234699,1845
2013-03-20,-276.5885,217.0885,0.48377051406359317,1060
2013-03-21,-740.27325,127.77324999999999,0.24709774288210187,1613
2013-03-22,711.72375,-220.22375,0.6959162249455868,509
2013-03-23,222.3995,-209.8995,0.5116794197141448,988
2013-03-24,-319.16475,-12.335249999999998,0.35750469524458595,1332
2013-03-25,-831.7997499999999,185.29975000000002,0.23269072140113095,1647
2013-03-26,-356.0805,23.5805,0.35652621696307263,1333
2013-03-27,-330.94100000000003,2.441,0.3597091592282557,1329
2013-03-28,437.63275,-195.13275,0.6047796826617774,758
2013-03-29,263.7525,74.7475,0.6414019980290293,662
2013-03-30,759.0125,149.4875,0.8741908261811063,92
2013-03-31,-61.82625,-54.67375,0.4538559416310719,1117
2013-04-01,-733.71875,129.21875,0.2507977669357069,1605
2013-04-02,432.79825,227.70175,0.7634911605585584,340
2013-04-03,510.14425000000006,-142.64425,0.6493813307190558,633
2013-04-04,108.7435,13.7565,0.5536876842945453,878
2013-04-05,532.8797500000001,-102.37975,0.6742013355805639,570
2013-04-06,-18.587,140.087,0.5536073608982806,879
2013-04-07,31.75625,36.74375,0.5337049366818268,932
2013-04-08,-147.99175,60.49175,0.46894929819690045,1088
2013-04-09,-904.751,116.251,0.17991813331845496,1789
2013-04-10,-763.60925,-55.89075,0.16550723612713455,1820
2013-04-11,-893.2592500000001,172.75925,0.20816136223079607,1721
2013-04-12,261.2745,17.2255,0.6157341024602523,722
2013-04-13,-357.52750000000003,-160.9725,0.28307574942813096,1519
2013-04-14,8.440999999999999,95.059,0.5460363765655227,897
2013-04-15,787.51025,130.98975000000002,0.8847054492285253,82
2013-04-16,-485.53075,-88.96924999999999,0.2627861187326053,1575
2013-04-17,-177.553,164.053,0.4997421898282544,1014
2013-04-18,518.2065,200.2935,0.7856695617875923,282
2013-04-19,-523.5554999999999,-103.9445,0.23841942986885978,1628
2013-04-20,-808.75225,220.25225,0.2582882224060788,1589
2013-04-21,-408.15475,-172.34525,0.2599434679407661,1581
2013-04-22,-665.94875,-145.55124999999998,0.16938016348370155,1812
2013-04-23,836.90175,-136.40175,0.7806030897216638,300
2013-04-24,617.98975,188.51024999999998,0.8252942456531077,194
2013-04-25,255.54175,73.95824999999999,0.6375815156733312,671
2013-04-26,729.61575,-162.11575,0.7275893287946288,433
2013-04-27,600.46775,-28.96775,0.7310023451929615,429
2013-04-28,-605.715,57.215,0.2723156521227891,1549
2013-04-29,764.85175,-194.35174999999998,0.7307400157898589,430
2013-04-30,70.86449999999999,183.6355,0.6079570672139883,746
2013-05-01,614.69175,145.80825,0.806672831219557,240
2013-05-02,779.1125,8.387500000000001,0.8179143946541223,213
