,u1,u2,score,ranking
2013-01-01,-0.024819362080461232,-0.18774776256769743,0.2842725707581973,1539
2013-01-02,0.09041547543204957,-0.19952927029882267,0.3877259005395831,1268
2013-01-03,0.04667140251234732,0.32789135486040694,0.8714024527791104,103
2013-01-04,0.020004310989473563,-0.19747534967681757,0.3193686567190122,1435
2013-01-05,-0.06852365776144648,-0.17955252865351767,0.24876350899139213,1628
2013-01-06,-0.06852848178269308,0.21040630037794872,0.6387175140016116,643
2013-01-07,-0.08811066341629376,-0.03732043559599047,0.37140859639407187,1312
2013-01-08,0.07350784330505325,0.22425613600772248,0.7946036747191321,250
2013-01-09,0.020495616498708062,-0.344819383504914,0.17251592840014995,1812
2013-01-10,0.04188712970927537,-0.007055354617714994,0.5316714704979165,917
2013-01-11,-0.09561048699077332,-0.37022142940979597,0.031007779005786596,1995
2013-01-12,0.0942545845824651,-0.34698974679213923,0.2441045331966825,1641
2013-01-13,0.06676114231015062,0.32803765311910654,0.8916384908356132,73
2013-01-14,-0.05725956371427848,-0.28571601266234625,0.15386411902973138,1848
2013-01-15,-0.06336239240851366,0.0288242362637513,0.46230153926159384,1079
2013-01-16,-0.06304648387924697,-0.06823582747585709,0.365557384051252,1336
2013-01-17,-0.038878937258026186,-0.11923764854934825,0.33872310959898166,1394
2013-01-18,0.005223900476513832,0.3227543669933957,0.8248179628762656,186
2013-01-19,-0.013338382121510551,-0.379653592136031,0.10384772114881477,1924
2013-01-20,-0.04148155781032535,0.13391943938404893,0.5892775769800798,778
2013-01-21,0.022643193094542186,0.3736032378144182,0.8930861263153163,72
2013-01-22,-0.07182861371952548,0.05102223721305116,0.47603331889988193,1052
2013-01-23,-0.041298456142890086,0.3523456600700512,0.8078868993335171,224
2013-01-24,-0.026455017191195397,-0.3553060061276032,0.11507867208755737,1905
2013-01-25,-0.00851338900652654,-0.06207765429709336,0.4262486521027363,1182
2013-01-26,0.05730780642866896,-0.18898607678678164,0.36516142504824367,1338
2013-01-27,-0.059792629418261634,0.18754446242816172,0.6245915284162559,682
2013-01-28,0.0031195018327886,0.3879253628413746,0.8878845600805197,79
2013-01-29,0.01875552792247475,-0.19188825960102449,0.3237069637278067,1421
2013-01-30,-0.0904373033059343,0.12622737162283698,0.5326297637232591,914
2013-01-31,0.021781584530353955,-0.23863420334863017,0.2799870765880798,1549
2013-02-01,-0.06562256111247547,0.05515189410086547,0.4863690283947462,1026
2013-02-02,-0.08671706725287773,-0.0259663202057534,0.38415630794772493,1281
2013-02-03,0.0900497216007329,0.3804919541488069,0.9673813711558964,9
2013-02-04,0.09339902076497802,0.08970950860075083,0.6799482247720852,539
2013-02-05,0.061952083773358535,-0.11750721188696756,0.44128456729274723,1133
2013-02-06,-0.03880463201525963,-0.3058356816460757,0.15219938174502085,1853
2013-02-07,-0.080192963048657,-0.276114846568475,0.14053188578922443,1870
2013-02-08,0.037119219452497604,-0.2168587655954345,0.31710014926341945,1442
2013-02-09,-0.011696887102013474,-0.19633898048418402,0.2888038278201587,1527
2013-02-10,-0.07531973888097795,0.2833805367164881,0.7049004932418661,483
2013-02-11,-0.0006920038276796944,0.0518659210695974,0.548013612648274,871
2013-02-12,-0.09284968162689011,0.02160041954307077,0.4255904333225369,1184
2013-02-13,0.08213669456582262,-0.30529721206104854,0.2736791779111304,1563
2013-02-14,-0.04797138952993048,0.29099944512312614,0.7398677509995514,382
2013-02-15,0.03277707102086262,0.18113913301036458,0.7107558994375833,472
2013-02-16,-0.03738517063205156,-0.3429776200364213,0.11647690473788347,1902
2013-02-17,0.004286218385628433,0.16915576822739276,0.6702816820193771,561
2013-02-18,0.009614670018722203,0.03771826431769451,0.5441726297427728,882
2013-02-19,-0.06275649474482839,-0.33173203295899933,0.10235116770252803,1926
2013-02-20,0.094189539702978,-0.030471796333497232,0.560557438775837,838
2013-02-21,0.05529917882228917,-0.009355279852384882,0.5427835943762604,887
2013-02-22,0.08817240246290398,-0.2644926774258022,0.32051942044345844,1431
2013-02-23,0.079238084235596,0.3594462080438036,0.9355239876857556,26
2013-02-24,0.019852609912283277,0.2828679876281069,0.7995602929467466,245
2013-02-25,0.08464746115468963,0.13810556030686422,0.71959271686791,444
2013-02-26,-0.08202888543954977,-0.027275860755936625,0.3875349492108697,1270
2013-02-27,-0.06053081336610465,-0.06769987628881552,0.36860900575143585,1323
2013-02-28,-0.0906819280678261,0.12366646416434089,0.529824231502871,924
2013-03-01,-0.03466131969728092,0.03923318596910196,0.5014115616781772,984
