,u1,u2,score,ranking
2013-01-01,-0.05,-0.05,0.31812290129163423,1580
2013-01-02,0.15225,-0.25225000000000003,0.598846552740958,649
2013-01-03,0.362,0.538,0.8191242611662208,120
2013-01-04,-0.02375,-0.07625,0.42410234202327135,1279
2013-01-05,-0.05,-0.05,0.21398418328553376,1804
2013-01-06,-0.15825,0.05825,0.4576963913770832,1151
2013-01-07,-0.05,-0.05,0.25391172730936973,1730
2013-01-08,0.48925,0.41075,0.8214433513650582,114
2013-01-09,-0.0225,-0.0775,0.333240584653797,1552
2013-01-10,0.02775,-0.12775,0.5978218857347148,653
2013-01-11,-0.05,-0.05,0.02709904723954254,2000
2013-01-12,0.162,-0.262,0.5162815278086744,927
2013-01-13,0.4105,0.48950000000000005,0.8694400470724164,69
2013-01-14,-0.05,-0.05,0.17579224089793566,1866
2013-01-15,-0.05,-0.05,0.35712282474115886,1478
2013-01-16,-0.05,-0.05,0.2972500562270702,1636
2013-01-17,-0.05,-0.05,0.3257927846091902,1564
2013-01-18,-0.22649999999999998,0.1265,0.7122948886597551,335
2013-01-19,-0.05,-0.05,0.22688420770880263,1781
2013-01-20,-0.10850000000000001,0.0085,0.4775094131868155,1072
2013-01-21,0.2685,0.6315,0.787623664467965,175
2013-01-22,-0.058750000000000004,-0.04125,0.3498310220569419,1499
2013-01-23,-0.24975000000000003,0.14975,0.614483555284155,610
2013-01-24,-0.05,-0.05,0.20930986128985773,1819
2013-01-25,-0.05,-0.05,0.43743165164559866,1222
2013-01-26,0.0685,-0.16849999999999998,0.5226668761775324,906
2013-01-27,-0.14200000000000002,0.042,0.46524737356954476,1123
2013-01-28,-0.27175,0.17175,0.7477657644554292,263
2013-01-29,-0.027,-0.07300000000000001,0.42447231565314514,1278
2013-01-30,-0.10500000000000001,0.005,0.3503125070970361,1496
2013-01-31,-0.01925,-0.08075,0.40282124233058925,1349
2013-02-01,-0.06075,-0.03925,0.3679271891294507,1453
2013-02-02,-0.05,-0.05,0.26449203983680786,1710
2013-02-03,0.43374999999999997,0.46625000000000005,0.9604454334424352,7
2013-02-04,0.62625,0.27375,0.787079652885513,177
2013-02-05,0.0805,-0.1805,0.5789518601016399,698
2013-02-06,-0.05,-0.05,0.20935477703065203,1818
2013-02-07,-0.05,-0.05,0.12445947137065921,1927
2013-02-08,0.016,-0.116,0.454774978231696,1165
2013-02-09,-0.05,-0.05,0.34555957753994965,1516
2013-02-10,-0.20274999999999999,0.10275,0.4863271463429583,1031
2013-02-11,-0.059500000000000004,-0.0405,0.5281998491968976,890
2013-02-12,-0.05,-0.05,0.2788897162447924,1677
2013-02-13,0.1305,-0.23049999999999998,0.5120446369739997,936
2013-02-14,-0.20750000000000002,0.1075,0.5594598374747259,756
2013-02-15,-0.08124999999999999,-0.018750000000000003,0.6926682937812328,381
2013-02-16,-0.05,-0.05,0.18968971899470627,1849
2013-02-17,-0.13175,0.03175,0.6139515592037897,614
2013-02-18,-0.0495,-0.0505,0.5451242483429628,814
2013-02-19,-0.05,-0.05,0.13328990063615265,1917
2013-02-20,0.162,-0.262,0.7139426346466076,332
2013-02-21,0.06375,-0.16375,0.6299145552455807,558
2013-02-22,0.14625,-0.24625000000000002,0.5526367408637325,780
2013-02-23,0.4215,0.4785,0.9202627487139656,27
2013-02-24,-0.176,0.076,0.7239376751458735,311
2013-02-25,0.57525,0.32475,0.7954482861761125,159
2013-02-26,-0.05,-0.05,0.27539403152626335,1685
2013-02-27,-0.05,-0.05,0.30387420200182685,1623
2013-02-28,-0.10300000000000001,0.003,0.3481003780307461,1505
2013-03-01,-0.05,-0.05,0.4353811000850849,1233
2013-03-02,-0.05,-0.05,0.2254751977856838,1783
2013-03-03,-0.05,-0.05,0.3919258402721138,1395
2013-03-04,0.45925,0.44075000000000003,0.8175705631923844,122
2013-03-05,-0.05,-0.05,0.40799660214527367,1335
2013-03-06,-0.05,-0.05,0.1664455436208246,1879
2013-03-07,-0.17149999999999999,0.0715,0.6644871412711408,452
2013-03-08,-0.05,-0.05,0.17114400355536852,1873
2013-03-09,0.0765,-0.1765,0.5304089078210392,880
2013-03-10,-0.05,-0.05,0.11962849855603336,1934
2013-03-11,0.1695,-0.2695,0.6585510007360074,465
2013-03-12,-0.04525,-0.05475,0.7644981374926463,218
2013-03-13,-0.05,-0.05,0.3590507705190549,1472
2013-03-14,-0.05,-0.05,0.10520169563715748,1948
2013-03-15,0.4185,0.48150000000000004,0.8466457533034375,87
2013-03-16,0.361,0.539,0.7932195993995732,164
2013-03-17,0.3795,0.5205,0.7997927965434971,147
2013-03-18,0.0615,-0.1615,0.5050332790337425,964
2013-03-19,-0.05,-0.05,0.26264199795753923,1715
2013-03-20,-0.273,0.173,0.6717276923425739,439
2013-03-21,-0.16375,0.06375,0.44394076791756004,1204
2013-03-22,0.10575,-0.20575,0.44513542355057667,1197
2013-03-23,-0.0135,-0.0865,0.344251359044025,1519
2013-03-24,-0.05,-0.05,0.397414700832491,1377
2013-03-25,-0.23225,0.13225,0.4863892780737919,1030
2013-03-26,-0.05,-0.05,0.4248420598341882,1275
2013-03-27,-0.05,-0.05,0.41149791503051864,1323
2013-03-28,0.0415,-0.14150000000000001,0.4175399391473473,1299
2013-03-29,-0.06325,-0.036750000000000005,0.6471687880397536,496
2013-03-30,0.482,0.418,0.854657951588276,77
2013-03-31,-0.05,-0.05,0.4263174663347558,1268
2013-04-01,-0.166,0.066,0.4476030484318146,1188
2013-04-02,0.31675,0.58325,0.8388607205619033,98
2013-04-03,0.05725,-0.15725,0.48227575387229327,1052
2013-04-04,-0.04475,-0.05525,0.5423034143821188,831
2013-04-05,0.0615,-0.1615,0.5290525690195682,886
2013-04-06,-0.174,0.074,0.643325007699115,513
2013-04-07,-0.0675,-0.0325,0.5501630976315758,791
2013-04-08,-0.09475,-0.00525,0.5310617179544267,876
2013-04-09,-0.17625000000000002,0.07625,0.41166664317999463,1321
2013-04-10,-0.05,-0.05,0.25193094982787967,1734
2013-04-11,-0.2365,0.1365,0.47325962704688873,1095
2013-04-12,-0.00775,-0.09225,0.5847196392549602,683
2013-04-13,-0.05,-0.05,0.23615540195583734,1759
2013-04-14,-0.12625,0.02625,0.6022349046667526,639
2013-04-15,0.505,0.395,0.8504139121821737,85
2013-04-16,-0.05,-0.05,0.2830269531082008,1672
2013-04-17,-0.20675,0.10675,0.6337810900171914,547
2013-04-18,0.3745,0.5255,0.8308471966544075,107
2013-04-19,-0.05,-0.05,0.2528513264347157,1731
2013-04-20,-0.272,0.172,0.5302506912720075,882
2013-04-21,-0.05,-0.05,0.21523149048126322,1802
2013-04-22,-0.05,-0.05,0.1816184778282472,1861
2013-04-23,0.141,-0.241,0.5569612457902996,760
2013-04-24,0.40675,0.49325,0.8510550447861437,84
2013-04-25,-0.0645,-0.035500000000000004,0.6438481544176926,510
2013-04-26,0.11,-0.21000000000000002,0.5117824367049952,937
2013-04-27,0.07725,-0.17725000000000002,0.6219977476337317,588
2013-04-28,-0.087,-0.013,0.40093404197791893,1364
2013-04-29,0.1245,-0.22449999999999998,0.48801154173968053,1023
2013-04-30,-0.21750000000000003,0.1175,0.7108793051614948,337
2013-05-01,0.451,0.449,0.8055218453027988,133
2013-05-02,0.126,-0.22599999999999998,0.7006490367500657,359
2013-05-03,-0.26575,0.16575,0.6425650451155172,518
2013-05-04,-0.05,-0.05,0.26390645190138823,1712
2013-05-05,-0.27225,0.17225,0.6060227407892198,632
2013-05-06,-0.11,0.01,0.5475138937149417,801
2013-05-07,0.03950000000000001,-0.1395,0.7263430195882172,306
2013-05-08,0.10525,-0.20525,0.5133427392760642,935
2013-05-09,-0.21700000000000003,0.117,0.44443994441791734,1200
2013-05-10,-0.05,-0.05,0.46911849524909044,1113
2013-05-11,-0.05,-0.05,0.2898222044656292,1654
2013-05-12,-0.05,-0.05,0.11735766522324464,1937
2013-05-13,-0.0585,-0.0415,0.3398105254860327,1536
2013-05-14,-0.05,-0.05,0.43250739676315214,1246
2013-05-15,0.5625,0.33749999999999997,0.8311316631408389,106
2013-05-16,-0.22225,0.12225,0.6067304925192787,629
2013-05-17,-0.05,-0.05,0.2990986031931978,1631
2013-05-18,-0.0675,-0.032499999999999994,0.71725772461777,323
2013-05-19,-0.05,-0.05,0.2755207732384381,1683
2013-05-20,0.50525,0.39475,0.9149795679390623,30
2013-05-21,0.5205,0.3795,0.8907554044018837,51
2013-05-22,-0.05,-0.05,0.39628802540545427,1382
2013-05-23,-0.13225,0.03225,0.6037456522578485,636
2013-05-24,-0.05,-0.05,0.307614211500259,1613
2013-05-25,-0.05,-0.05,0.3780041966551411,1429
2013-05-26,-0.18875000000000003,0.08875,0.4292619225325022,1257
2013-05-27,-0.0185,-0.0815,0.5344147655765554,867
2013-05-28,-0.05,-0.05,0.43023864427715164,1253
2013-05-29,-0.05,-0.05,0.2728455992501446,1689
2013-05-30,-0.19124999999999998,0.09125,0.5534478583369149,777
2013-05-31,0.12975,-0.22975,0.6217369666687632,590
2013-06-01,-0.05,-0.05,0.2066617419013581,1823
2013-06-02,-0.13275,0.03275,0.4284544462110019,1261
2013-06-03,-0.19025000000000003,0.09025,0.6577154864928224,468
2013-06-04,0.169,-0.269,0.543143966317067,825
2013-06-05,-0.05,-0.05,0.24096469213372257,1749
2013-06-06,0.01075,-0.11075,0.4070537685834362,1339
2013-06-07,0.05725,-0.15725,0.5547805134554421,770
2013-06-08,-0.05,-0.05,0.34399426144890616,1521
2013-06-09,-0.063,-0.037,0.738521342787583,280
2013-06-10,-0.10325000000000001,0.00325,0.5094653588004636,950
2013-06-11,-0.04975,-0.05025,0.6266171990360053,569
2013-06-12,-0.0095,-0.0905,0.49295232868527455,1006
2013-06-13,-0.197,0.097,0.6886111185797592,389
2013-06-14,-0.05,-0.05,0.28078846872628643,1675
2013-06-15,0.37125,0.52875,0.9072037168021962,37
2013-06-16,-0.09475,-0.00525,0.47746110163373634,1073
2013-06-17,-0.05,-0.05,0.15639162598217848,1890
2013-06-18,-0.1165,0.0165,0.35847635181509896,1475
2013-06-19,-0.027,-0.07300000000000001,0.4579984793099704,1149
2013-06-20,-0.0605,-0.0395,0.6819457792641899,408
2013-06-21,-0.05,-0.05,0.04311448854513095,1994
2013-06-22,-0.05,-0.05,0.3434872477376202,1523
2013-06-23,-0.20575,0.10575,0.5411165170518621,837
2013-06-24,-0.003,-0.097,0.4361761737164824,1228
2013-06-25,-0.19424999999999998,0.09425,0.5057037771239657,960
2013-06-26,0.0195,-0.11950000000000001,0.4851069132784382,1043
2013-06-27,-0.0975,-0.0025,0.5148086281796225,929
2013-06-28,0.569,0.331,0.8154402811232828,123
2013-06-29,-0.05,-0.05,0.3250878486455231,1567
2013-06-30,-0.05,-0.05,0.3231885138734949,1570
2013-07-01,-0.05,-0.05,0.1630589488058426,1882
2013-07-02,0.1395,-0.2395,0.4789414864204945,1064
2013-07-03,0.11375,-0.21375,0.5906428773108524,673
2013-07-04,-0.10450000000000001,0.0045,0.4555522091232193,1161
2013-07-05,0.304,0.596,0.7991444322413308,150
2013-07-06,0.42250000000000004,0.4775,0.844213341232134,92
2013-07-07,-0.158,0.057999999999999996,0.6606327940673824,457
2013-07-08,-0.17225000000000001,0.07225,0.6590489608046526,462
2013-07-09,-0.10875,0.00875,0.45341859718822347,1173
2013-07-10,-0.05,-0.05,0.1766948126859511,1864
2013-07-11,0.44599999999999995,0.45399999999999996,0.9022053943295782,39
2013-07-12,0.56575,0.33425,0.7855751845345822,181
2013-07-13,-0.018250000000000002,-0.08175,0.5967710441268539,657
2013-07-14,-0.05,-0.05,0.22500963013109088,1784
2013-07-15,-0.05,-0.05,0.39813255920954316,1373
2013-07-16,0.03975,-0.13974999999999999,0.5931569750360828,668
2013-07-17,0.46725000000000005,0.43274999999999997,0.8808369347376235,61
2013-07-18,0.12025,-0.22025,0.7168673222264529,326
