,u,n,score,ranking
2013-01-01,-176.99875,-474.50125,0.40466941682894764,1652
2013-01-02,550.0047500000001,-394.50475,0.5239924329587945,845
2013-01-03,301.17475,-106.67474999999999,0.5282804770101589,806
2013-01-04,144.028,211.47199999999998,0.5491209373847017,645
2013-01-05,-419.6945,443.1945,0.5042904981871472,977
2013-01-06,-400.347,-413.153,0.36694458801281293,1814
2013-01-07,-486.88625,705.38625,0.5310318079504016,782
2013-01-08,478.898,-102.398,0.5515453410715816,624
2013-01-09,129.79399999999998,-13.293999999999999,0.518513618800767,884
2013-01-10,252.6995,-391.1995,0.4818375812273833,1139
2013-01-11,-315.884,-678.616,0.21017767803732518,1995
2013-01-12,502.2505,412.2495,0.6647056021412828,86
2013-01-13,400.56425,381.93575,0.625436039927479,218
2013-01-14,-380.36225,-194.13774999999998,0.4199616175661982,1575
2013-01-15,-416.51725,-10.98275,0.4417242508194099,1428
2013-01-16,-409.92875000000004,230.42875,0.47795603938701475,1180
2013-01-17,-210.46224999999998,-686.03775,0.33584478004098417,1897
2013-01-18,12.9675,-302.4675,0.462627072138744,1290
2013-01-19,-61.972750000000005,424.47275,0.5499301780981694,638
2013-01-20,-246.03275,-599.46725,0.35790267418606847,1846
2013-01-21,160.00525,172.49475,0.5458552135178063,668
2013-01-22,-350.95050000000003,-572.5495,0.319372227760536,1924
2013-01-23,-266.14,225.64,0.49574332830172574,1041
2013-01-24,-190.33975,-53.16025,0.4704210500749396,1244
2013-01-25,-78.456,-753.044,0.3620034515709665,1832
2013-01-26,322.7985,547.7014999999999,0.6502143406351765,130
2013-01-27,-364.024,-392.476,0.381167430287828,1757
2013-01-28,-10.27275,-448.22725,0.43802669272157185,1459
2013-01-29,132.36575,119.13425000000001,0.534528449550884,749
2013-01-30,-536.4657500000001,538.9657500000001,0.5011810704982967,998
2013-01-31,101.10325,-541.60325,0.44024322486201595,1441
2013-02-01,-431.698,-16.802,0.43903921272529606,1449
2013-02-02,-551.9825,166.48250000000002,0.4473156386235018,1386
2013-02-03,508.75325,347.74675,0.6452255560317182,144
2013-02-04,573.8207500000001,130.67925,0.6072417310370899,296
2013-02-05,398.555,-170.055,0.5323172424966265,772
2013-02-06,-256.42525,-448.07475,0.3947155361827766,1705
2013-02-07,-516.89575,-12.60425,0.42642593344498675,1530
2013-02-08,197.89749999999998,-560.3975,0.4510754843435829,1363
2013-02-09,-52.37575,-934.1242500000001,0.2543224600683517,1987
2013-02-10,-489.2775,175.7775,0.4593324313015692,1314
2013-02-11,26.221,486.279,0.5713501693091497,488
2013-02-12,-312.2495,-679.2505,0.21784310937969661,1992
2013-02-13,491.22425,-491.72425,0.5010856240389614,1001
2013-02-14,-300.8765,306.3765,0.5012883372004193,995
2013-02-15,156.223,801.277,0.6971040944477322,43
2013-02-16,-257.572,-24.928,0.46400571183191486,1283
2013-02-17,3.2262500000000003,-403.72625,0.4457733689372314,1401
2013-02-18,56.83025,-105.33025,0.49471034058026875,1049
2013-02-19,-341.623,678.123,0.5469610046369603,664
2013-02-20,589.57825,-288.07824999999997,0.542239791222949,699
2013-02-21,336.942,-408.442,0.4910912041402027,1072
2013-02-22,562.5155,-204.01550000000003,0.5492803065382752,642
2013-02-23,479.75625,-464.25625,0.5026991814248328,985
2013-02-24,135.09,73.41,0.5293936210418007,792
2013-02-25,364.51575,607.98425,0.7143491236821883,28
2013-02-26,-528.74875,111.24875,0.4435448422596663,1418
2013-02-27,-399.13925,-179.36075,0.41900829231372605,1579
2013-02-28,-547.7775,-192.7225,0.3857005562688641,1741
2013-03-01,-193.4225,-694.0775000000001,0.3400108014569203,1888
2013-03-02,-115.76325,465.26324999999997,0.5483842401096692,651
2013-03-03,-304.23125,-77.26875000000001,0.44804283059375505,1382
2013-03-04,432.6435,-60.1435,0.5513091087431359,628
2013-03-05,-85.43350000000001,1068.9335,0.7267992707663068,17
2013-03-06,-289.45325,127.95325,0.4800871346067311,1162
2013-03-07,33.338,-412.83799999999997,0.448395932624035,1380
2013-03-08,-448.35925,-260.14075,0.3940762372985091,1709
2013-03-09,340.12475,539.37525,0.6523150528865483,121
2013-03-10,-546.2565,-4.243500000000001,0.42397176157897537,1551
2013-03-11,546.74325,-676.24325,0.4823151490547141,1130
2013-03-12,330.54975,464.95025,0.6279872686253478,205
2013-03-13,-370.89925000000005,-366.60074999999995,0.386291609463715,1738
2013-03-14,-494.74175,861.24175,0.5509682455221242,634
2013-03-15,355.60974999999996,511.89025,0.6494961309481387,133
2013-03-16,266.84575,-227.34575,0.5055857171168233,961
2013-03-17,263.37725,598.12275,0.6482827425470066,139
2013-03-18,368.3185,72.1815,0.5596825101793814,560
2013-03-19,-522.21125,396.71125,0.4830308243565956,1126
2013-03-20,-174.99,247.49,0.5104717710924126,928
2013-03-21,-430.08225,-420.41775,0.35546527950575607,1851
2013-03-22,454.10450000000003,-314.60450000000003,0.5211366985897218,861
2013-03-23,170.3475,529.1524999999999,0.6070564907720045,301
2013-03-24,-234.25925,-213.24075,0.43939757840200655,1448
2013-03-25,-520.0129999999999,-241.48700000000002,0.380419792997845,1762
2013-03-26,-242.0925,-497.4075,0.3857866579951842,1740
2013-03-27,-223.63625000000002,207.13625000000002,0.49892458965282627,1017
2013-03-28,202.16575,769.33425,0.7109232292070644,29
2013-03-29,137.62475,-563.12475,0.44210886113070086,1426
2013-03-30,503.82875,57.67125,0.579380105049086,439
2013-03-31,6.6605000000000025,700.8395,0.6074206294656243,293
2013-04-01,-489.22775,-96.27225,0.4175475378880032,1586
2013-04-02,292.52175,266.97825,0.5788387011445778,441
2013-04-03,290.45349999999996,-552.9535000000001,0.4671655274716291,1263
2013-04-04,94.75075000000001,239.74925000000002,0.5465200072905112,666
2013-04-05,356.6995,-75.1995,0.5392218947905484,719
2013-04-06,23.81125,522.68875,0.5776175189272672,454
2013-04-07,58.10925,605.39075,0.599537450001579,337
2013-04-08,-33.82525,986.32525,0.6926732950331992,48
2013-04-09,-595.9555,237.45550000000003,0.45145447920590515,1359
2013-04-10,-503.13975000000005,118.63974999999999,0.44764199072523425,1385
2013-04-11,-596.98325,30.483249999999998,0.4218365812635338,1567
2013-04-12,174.059,-187.559,0.4990287788279011,1014
2013-04-13,-242.38175,156.88175,0.48994990369220065,1086
2013-04-14,-1.0972499999999998,-175.40275000000003,0.4780820254218182,1177
2013-04-15,512.667,122.833,0.5949901728867878,365
2013-04-16,-260.96000000000004,665.46,0.5552662486784117,596
2013-04-17,-138.09325,-534.40675,0.4015531793847547,1673
2013-04-18,296.98175,545.5182500000001,0.6423005125989334,158
2013-04-19,-290.50124999999997,659.00125,0.5511288384855139,632
2013-04-20,-530.12325,-114.37675,0.4059504998064723,1645
2013-04-21,-185.06275,-784.43725,0.288201898662066,1970
2013-04-22,-411.53925000000004,-336.96074999999996,0.3836184984832463,1749
2013-04-23,413.1855,535.3145,0.6896990941934035,52
2013-04-24,414.3945,28.1055,0.5597946309289729,558
2013-04-25,138.86950000000002,-528.3695,0.4467365727184919,1390
2013-04-26,476.33674999999994,-231.83675,0.5339101243392862,756
2013-04-27,365.9675,428.5325,0.6279840175001872,206
2013-04-28,-401.885,250.385,0.48105269723331756,1152
2013-04-29,514.66125,-77.16125000000001,0.55939723176442,563
2013-04-30,38.70025,-211.20024999999998,0.47852249543795516,1173
2013-05-01,395.461,-184.961,0.5301473791093068,790
2013-05-02,484.2545,-447.7545,0.5054254452248185,964
2013-05-03,-164.4545,784.9545,0.5928307501519282,380
2013-05-04,-485.02774999999997,-210.47225,0.39622474736862817,1696
2013-05-05,-301.85075,610.3507500000001,0.5429597141744281,692
2013-05-06,-42.99375,744.49375,0.6071268418790474,299
2013-05-07,364.81875,483.68125,0.6434678250363355,152
2013-05-08,465.854,-193.35399999999998,0.5376164916338249,728
2013-05-09,-621.817,139.317,0.4336888333331669,1483
2013-05-10,12.8935,-20.3935,0.5002138120042399,1008
2013-05-11,-131.483,-492.01700000000005,0.41118605177134554,1624
2013-05-12,-371.74975,126.24974999999999,0.47037030463187435,1246
2013-05-13,-386.98199999999997,-521.518,0.32964989017395235,1909
2013-05-14,-153.21825,619.71825,0.5625373853576507,534
2013-05-15,567.083,-193.583,0.5514125569986323,627
2013-05-16,-234.65075,81.15075,0.48073335887397817,1154
2013-05-17,29.976499999999998,151.5235,0.5264211540723646,819
2013-05-18,260.457,-130.957,0.5198913938827094,871
2013-05-19,-170.06775,297.56775,0.5196614245938808,873
2013-05-20,603.20175,-190.70175,0.5563641240143902,588
2013-05-21,499.63375,410.86625,0.6621932427850018,90
2013-05-22,-269.44325000000003,-611.05675,0.342678084745333,1881
2013-05-23,0.12674999999999992,64.37325,0.5095600675421901,936
2013-05-24,-161.1495,897.6495,0.6152899818880166,264
2013-05-25,-266.276,-510.22400000000005,0.3769415929070476,1777
2013-05-26,-511.5685,-344.9315,0.35315779182891843,1857
2013-05-27,169.874,299.626,0.5630254947686926,531
2013-05-28,8.710999999999999,94.78899999999999,0.5149023472009402,897
2013-05-29,-573.3522499999999,117.85225,0.4383461581918826,1456
2013-05-30,-282.83275000000003,236.33274999999998,0.4948642632591354,1047
2013-05-31,478.79525,329.70475,0.6324308946782724,192
2013-06-01,-293.58225,562.08225,0.5366883654898923,732
2013-06-02,-460.91175,166.41174999999998,0.4617644669725256,1295
2013-06-03,-24.10175,-146.39825,0.47858993968602925,1171
2013-06-04,539.8975,333.6025,0.6509359869183386,127
2013-06-05,-223.37475,893.87475,0.6004016090939174,330
2013-06-06,221.25475,-66.75475,0.5238164097705699,846
2013-06-07,298.02925000000005,-509.52925000000005,0.47436157869209217,1212
2013-06-08,-296.6155,560.1155,0.5360939623414378,737
2013-06-09,304.409,-42.909,0.536012776606084,739
2013-06-10,-126.4845,-828.0155,0.2997430628627277,1955
2013-06-11,181.1275,446.3725,0.5942549002907497,373
2013-06-12,166.7425,-285.2425,0.48387968727586517,1119
2013-06-13,45.518,-54.018,0.49991227423061885,1009
2013-06-14,-526.21925,116.71925,0.4446163804564029,1410
2013-06-15,440.028,138.472,0.5823004735001729,422
2013-06-16,-220.4435,358.9435,0.5209121583654703,862
2013-06-17,-400.477,-266.02299999999997,0.40246479243438343,1667
2013-06-18,-580.42925,204.92925000000002,0.44920349216503935,1376
2013-06-19,114.25375,-142.75375000000003,0.49741485443093497,1029
2013-06-20,236.0935,395.4065,0.5946177108394568,369
2013-06-21,-606.02775,253.52774999999997,0.4525469645066155,1353
2013-06-22,-15.707999999999998,-506.79200000000003,0.4275835154962886,1523
2013-06-23,-317.04200000000003,543.542,0.5321777243335902,774
2013-06-24,181.95475,-284.45475,0.48615748247276613,1103
2013-06-25,-402.17475,391.67475,0.49951790966348997,1011
2013-06-26,267.986,224.514,0.5675705326926005,508
2013-06-27,-77.43925,853.93925,0.6244017634037172,224
2013-06-28,568.0215000000001,-60.521499999999996,0.5694687191575988,493
2013-06-29,-456.65725,-224.84275,0.3995588451397429,1682
2013-06-30,-220.26125,-44.238749999999996,0.4666597017390331,1265
2013-07-01,-484.29975,-203.20024999999998,0.3984403216213758,1688
2013-07-02,475.47575,390.02425,0.6489340758110765,135
2013-07-03,387.70375,-783.20375,0.4461630220012692,1396
2013-07-04,-287.65025,-522.8497500000001,0.3672937320113228,1811
2013-07-05,167.63400000000001,-560.134,0.4465725754805004,1393
2013-07-06,367.16575,465.33425,0.6394690473981293,168
2013-07-07,85.744,774.756,0.6478892321264464,140
2013-07-08,37.0065,-62.5065,0.49757417818820365,1026
