,u,n,score,ranking
2013-01-01,-0.024819362080461246,-0.07085005077212822,0.40466941682894764,1652
2013-01-02,0.09041547543204959,-0.06676187215479225,0.5239924329587945,845
2013-01-03,0.046671402512347304,-0.018729755183725515,0.5282804770101589,806
2013-01-04,0.020004310989473584,0.02877779671369095,0.5491209373847017,645
2013-01-05,-0.06852365776144649,0.07247532626705644,0.5042904981871472,977
2013-01-06,-0.06852848178269315,-0.06486575988603101,0.36694458801281293,1814
2013-01-07,-0.08811066341629378,0.11880364168515825,0.5310318079504016,782
2013-01-08,0.0735078433050533,-0.02230133191500891,0.5515453410715816,624
2013-01-09,0.02049561649870809,-0.002320827379478251,0.518513618800767,884
2013-01-10,0.041887129709275384,-0.06038837816342919,0.4818375812273833,1139
2013-01-11,-0.09561048699077332,-0.1945506646534388,0.21017767803732518,1995
2013-01-12,0.09425458458246508,0.07011218787728057,0.6647056021412828,86
2013-01-13,0.06676114231015055,0.058336067935791214,0.625436039927479,218
2013-01-14,-0.05725956371427848,-0.02311764840106046,0.4199616175661982,1575
2013-01-15,-0.06336239240851366,0.0047478135463863615,0.4417242508194099,1428
2013-01-16,-0.06304648387924697,0.04066369358472454,0.47795603938701475,1180
2013-01-17,-0.038878937258026165,-0.1256151123825267,0.33584478004098417,1897
2013-01-18,0.005223900476513834,-0.04293565801930692,0.462627072138744,1290
2013-01-19,-0.013338382121510575,0.06292973053814276,0.5499301780981694,638
2013-01-20,-0.04148155781032538,-0.10095459768514323,0.35790267418606847,1846
2013-01-21,0.02264319309454221,0.022873190741726945,0.5458552135178063,668
2013-01-22,-0.07182861371952545,-0.10913798820147569,0.319372227760536,1924
2013-01-23,-0.0412984561428901,0.03670295476307861,0.49574332830172574,1041
2013-01-24,-0.026455017191195414,-0.003462762415402129,0.4704210500749396,1244
2013-01-25,-0.008513389006526536,-0.1298219891040442,0.3620034515709665,1832
2013-01-26,0.05730780642866898,0.09256770452497026,0.6502143406351765,130
2013-01-27,-0.05979262941826169,-0.059378769975447235,0.381167430287828,1757
2013-01-28,0.003119501832788596,-0.06543163879275388,0.43802669272157185,1459
2013-01-29,0.018755527922474764,0.015434091946872053,0.534528449550884,749
2013-01-30,-0.0904373033059343,0.09127954412269365,0.5011810704982967,998
2013-01-31,0.021781584530353948,-0.08187718934987515,0.44024322486201595,1441
2013-02-01,-0.06562256111247547,0.004322944156234338,0.43903921272529606,1449
2013-02-02,-0.08671706725287773,0.03369387619484251,0.4473156386235018,1386
2013-02-03,0.09004972160073291,0.054837004749447985,0.6452255560317182,144
2013-02-04,0.09339902076497802,0.013503880590574623,0.6072417310370899,296
2013-02-05,0.06195208377335856,-0.02997367095826918,0.5323172424966265,772
2013-02-06,-0.03880463201525962,-0.06681866148350103,0.3947155361827766,1705
2013-02-07,-0.08019296304865703,0.006280066812106559,0.42642593344498675,1530
2013-02-08,0.03711921945249764,-0.086382564790452,0.4510754843435829,1363
2013-02-09,-0.011696887102013474,-0.23431948251117224,0.2543224600683517,1987
2013-02-10,-0.07531973888097798,0.034313340501010044,0.4593324313015692,1314
2013-02-11,-0.0006920038276796926,0.0717033434552923,0.5713501693091497,488
2013-02-12,-0.09284968162689014,-0.1896460386749506,0.21784310937969661,1992
2013-02-13,0.0821366945658226,-0.08138990020839831,0.5010856240389614,1001
2013-02-14,-0.04797138952993047,0.048920897048812556,0.5012883372004193,995
2013-02-15,0.03277707102086262,0.16398819374533224,0.6971040944477322,43
2013-02-16,-0.03738517063205155,0.0010520527824292442,0.46400571183191486,1283
2013-02-17,0.0042862183856284325,-0.058851679129934144,0.4457733689372314,1401
2013-02-18,0.0096146700187222,-0.015243159119990602,0.49471034058026875,1049
2013-02-19,-0.06275649474482839,0.1093786697002515,0.5469610046369603,664
2013-02-20,0.09418953970297794,-0.05228857816156619,0.542239791222949,699
2013-02-21,0.0552991788222892,-0.0645468043636237,0.4910912041402027,1072
2013-02-22,0.08817240246290396,-0.03923092560616598,0.5492803065382752,642
2013-02-23,0.07923808423559602,-0.07687773249230036,0.5026991814248328,985
2013-02-24,0.01985260991228329,0.009202181447980224,0.5293936210418007,792
2013-02-25,0.08464746115468963,0.12936283284596162,0.7143491236821883,28
2013-02-26,-0.08202888543954978,0.025234898017678937,0.4435448422596663,1418
2013-02-27,-0.06053081336610465,-0.020799724001706446,0.41900829231372605,1579
2013-02-28,-0.0906819280678261,-0.023956345344846867,0.3857005562688641,1741
2013-03-01,-0.03466131969728092,-0.12566670852733594,0.3400108014569203,1888
2013-03-02,-0.021991927912037357,0.07003733834016948,0.5483842401096692,651
2013-03-03,-0.045457579495154485,-0.006838419592627553,0.44804283059375505,1382
2013-03-04,0.06602011598045218,-0.015049836918853452,0.5513091087431359,628
2013-03-05,-0.02837672051121589,0.254837161595986,0.7267992707663068,17
