,u,n,score,ranking
2013-01-01,-0.0375,-0.0625,0.40466941682894764,1652
2013-01-02,0.1025,-0.2025,0.5239924329587945,845
2013-01-03,0.025,-0.125,0.5282804770101589,806
2013-01-04,-0.007,-0.093,0.5491209373847017,645
2013-01-05,-0.15475,0.05475,0.5042904981871472,977
2013-01-06,-0.047,-0.053000000000000005,0.36694458801281293,1814
2013-01-07,-0.272,0.172,0.5310318079504016,782
2013-01-08,0.067,-0.167,0.5515453410715816,624
2013-01-09,-0.0065,-0.0935,0.518513618800767,884
2013-01-10,0.0175,-0.11750000000000001,0.4818375812273833,1139
2013-01-11,-0.04825,-0.051750000000000004,0.21017767803732518,1995
2013-01-12,0.51425,0.38575,0.6647056021412828,86
2013-01-13,-0.016999999999999994,-0.08299999999999999,0.625436039927479,218
2013-01-14,-0.046,-0.054000000000000006,0.4199616175661982,1575
2013-01-15,-0.047,-0.053000000000000005,0.4417242508194099,1428
2013-01-16,-0.07425,-0.02575,0.47795603938701475,1180
2013-01-17,-0.044,-0.056,0.33584478004098417,1897
2013-01-18,-0.0195,-0.0805,0.462627072138744,1290
2013-01-19,-0.11475,0.01475,0.5499301780981694,638
2013-01-20,-0.044,-0.056,0.35790267418606847,1846
2013-01-21,-0.00425,-0.09575,0.5458552135178063,668
2013-01-22,-0.047,-0.053000000000000005,0.319372227760536,1924
2013-01-23,-0.06175,-0.03825,0.49574332830172574,1041
2013-01-24,-0.0385,-0.0615,0.4704210500749396,1244
2013-01-25,-0.02975,-0.07025,0.3620034515709665,1832
2013-01-26,0.38075000000000003,0.51925,0.6502143406351765,130
2013-01-27,-0.04625,-0.053750000000000006,0.381167430287828,1757
2013-01-28,-0.0215,-0.0785,0.43802669272157185,1459
2013-01-29,-0.0085,-0.0915,0.534528449550884,749
2013-01-30,-0.2015,0.10149999999999999,0.5011810704982967,998
2013-01-31,-0.00475,-0.09525,0.44024322486201595,1441
2013-02-01,-0.047,-0.053000000000000005,0.43903921272529606,1449
2013-02-02,-0.05825,-0.04175,0.4473156386235018,1386
2013-02-03,0.53975,0.36025,0.6452255560317182,144
2013-02-04,0.1115,-0.21150000000000002,0.6072417310370899,296
2013-02-05,0.0475,-0.14750000000000002,0.5323172424966265,772
2013-02-06,-0.044,-0.056,0.3947155361827766,1705
2013-02-07,-0.0475,-0.052500000000000005,0.42642593344498675,1530
2013-02-08,0.0115,-0.1115,0.4510754843435829,1363
2013-02-09,-0.03175,-0.06825,0.2543224600683517,1987
2013-02-10,-0.058249999999999996,-0.04175,0.4593324313015692,1314
2013-02-11,-0.13025,0.030250000000000003,0.5713501693091497,488
2013-02-12,-0.04825,-0.051750000000000004,0.21784310937969661,1992
2013-02-13,0.085,-0.185,0.5010856240389614,1001
2013-02-14,-0.09175,-0.00825,0.5012883372004193,995
2013-02-15,0.17300000000000001,0.727,0.6971040944477322,43
2013-02-16,-0.044,-0.056,0.46400571183191486,1283
2013-02-17,-0.02025,-0.07975,0.4457733689372314,1401
2013-02-18,-0.01625,-0.08375,0.49471034058026875,1049
2013-02-19,-0.24875000000000003,0.14875,0.5469610046369603,664
2013-02-20,0.11475,-0.21475,0.542239791222949,699
2013-02-21,0.03625,-0.13624999999999998,0.4910912041402027,1072
2013-02-22,0.0975,-0.1975,0.5492803065382752,642
2013-02-23,0.07975,-0.17975000000000002,0.5026991814248328,985
2013-02-24,-0.00725,-0.09275,0.5293936210418007,792
2013-02-25,0.3385,0.5615,0.7143491236821883,28
2013-02-26,-0.04775,-0.052250000000000005,0.4435448422596663,1418
2013-02-27,-0.04625,-0.053750000000000006,0.41900829231372605,1579
2013-02-28,-0.04825,-0.051750000000000004,0.3857005562688641,1741
2013-03-01,-0.0425,-0.0575,0.3400108014569203,1888
2013-03-02,-0.13675,0.036750000000000005,0.5483842401096692,651
2013-03-03,-0.0445,-0.0555,0.44804283059375505,1382
2013-03-04,0.0555,-0.1555,0.5513091087431359,628
2013-03-05,-0.04,0.94,0.7267992707663068,17
2013-03-06,-0.0445,-0.0555,0.4800871346067311,1162
2013-03-07,-0.01725,-0.08275,0.448395932624035,1380
2013-03-08,-0.047,-0.053000000000000005,0.3940762372985091,1709
2013-03-09,0.3925,0.5075,0.6523150528865483,121
2013-03-10,-0.048,-0.052000000000000005,0.42397176157897537,1551
2013-03-11,0.12625,-0.22625,0.4823151490547141,1130
2013-03-12,-0.07375,-0.026250000000000002,0.6279872686253478,205
2013-03-13,-0.04625,-0.053750000000000006,0.386291609463715,1738
2013-03-14,-0.345,0.245,0.5509682455221242,634
2013-03-15,0.411,0.489,0.6494961309481387,133
2013-03-16,0.01725,-0.11725000000000001,0.5055857171168233,961
2013-03-17,0.34425,0.55575,0.6482827425470066,139
2013-03-18,0.03425,-0.13425,0.5596825101793814,560
2013-03-19,-0.14150000000000001,0.041499999999999995,0.4830308243565956,1126
2013-03-20,-0.061,-0.039,0.5104717710924126,928
2013-03-21,-0.04725,-0.052750000000000005,0.35546527950575607,1851
2013-03-22,0.06575,-0.16575,0.5211366985897218,861
2013-03-23,-0.131,0.031,0.6070564907720045,301
2013-03-24,-0.042,-0.058,0.43939757840200655,1448
2013-03-25,-0.048,-0.052000000000000005,0.380419792997845,1762
2013-03-26,-0.044,-0.056,0.3857866579951842,1740
2013-03-27,-0.051750000000000004,-0.04825,0.49892458965282627,1017
2013-03-28,0.19075,0.7092499999999999,0.7109232292070644,29
2013-03-29,0.0,-0.1,0.44210886113070086,1426
2013-03-30,0.0775,-0.1775,0.579380105049086,439
2013-03-31,-0.23825,0.13825,0.6074206294656243,293
2013-04-01,-0.047,-0.053000000000000005,0.4175475378880032,1586
2013-04-02,0.0055,-0.10550000000000001,0.5788387011445778,441
2013-04-03,0.03175,-0.13175,0.4671655274716291,1263
2013-04-04,-0.02375,-0.07625,0.5465200072905112,666
2013-04-05,0.03425,-0.13425,0.5392218947905484,719
2013-04-06,-0.14625,0.04624999999999999,0.5776175189272672,454
2013-04-07,-0.18075,0.08075,0.599537450001579,337
2013-04-08,0.03025,0.86975,0.6926732950331992,48
2013-04-09,-0.08925,-0.01075,0.45145447920590515,1359
2013-04-10,-0.04725,-0.052750000000000005,0.44764199072523425,1385
2013-04-11,-0.04825,-0.051750000000000004,0.4218365812635338,1567
2013-04-12,0.0,-0.1,0.4990287788279011,1014
2013-04-13,-0.04375,-0.05625,0.48994990369220065,1086
2013-04-14,-0.022,-0.078,0.4780820254218182,1177
2013-04-15,0.08425,-0.18425000000000002,0.5949901728867878,365
2013-04-16,-0.23299999999999998,0.133,0.5552662486784117,596
2013-04-17,-0.03475,-0.06525,0.4015531793847547,1673
2013-04-18,0.382,0.518,0.6423005125989334,158
2013-04-19,-0.23375,0.13375,0.5511288384855139,632
2013-04-20,-0.04775,-0.052250000000000005,0.4059504998064723,1645
2013-04-21,-0.044,-0.056,0.288201898662066,1970
2013-04-22,-0.047,-0.053000000000000005,0.3836184984832463,1749
2013-04-23,0.41025,0.48975,0.6896990941934035,52
2013-04-24,0.0475,-0.14750000000000002,0.5597946309289729,558
2013-04-25,-0.0005,-0.0995,0.4467365727184919,1390
2013-04-26,0.069,-0.16899999999999998,0.5339101243392862,756
2013-04-27,-0.04325,-0.05675,0.6279840175001872,206
2013-04-28,-0.08125,-0.01875,0.48105269723331756,1152
2013-04-29,0.079,-0.179,0.55939723176442,563
2013-04-30,-0.01825,-0.08175,0.47852249543795516,1173
2013-05-01,0.0475,-0.14750000000000002,0.5301473791093068,790
2013-05-02,0.08025,-0.18025000000000002,0.5054254452248185,964
2013-05-03,-0.293,0.193,0.5928307501519282,380
2013-05-04,-0.04725,-0.052750000000000005,0.39622474736862817,1696
2013-05-05,-0.21125,0.11125,0.5429597141744281,692
2013-05-06,-0.26325,0.16325,0.6071268418790474,299
