,nl,ns,score,ranking
2013-01-01,351.88824999999997,-56.38825,0.5329853494911548,705
2013-01-02,-145.86374999999998,-9.63625,0.48749366919915005,1156
2013-01-03,465.65575,-57.15575,0.5438908838380558,592
2013-01-04,856.34125,-15.84125,0.6187627732162517,160
2013-01-05,-240.81475,-153.68525,0.4623315833525953,1395
2013-01-06,-222.023,15.523,0.4834019805177949,1207
2013-01-07,867.4145,2.0855,0.6263490799942136,131
2013-01-08,539.25375,-59.75375,0.5532238920215509,521
2013-01-09,-386.2685,49.7685,0.4690345058095279,1337
2013-01-10,401.83875,75.66125,0.5527805048631428,523
2013-01-11,-392.7395,-122.7605,0.4468509859313133,1516
2013-01-12,-386.1435,-54.3565,0.45511437192871734,1441
2013-01-13,154.2825,-64.7825,0.5116655582274098,911
2013-01-14,-926.1714999999999,-40.3285,0.3375385494162875,1967
2013-01-15,-947.85875,38.35875,0.3703013218182748,1910
2013-01-16,-448.38525000000004,-13.11475,0.45307873627299416,1462
2013-01-17,-716.85575,-17.64425,0.41632836196014,1735
2013-01-18,190.732,-173.232,0.5051011629635545,983
2013-01-19,-669.3415,41.841499999999996,0.4337122542603954,1628
2013-01-20,-833.47825,-66.02175,0.374623119944642,1900
2013-01-21,832.4902500000001,3.00975,0.6178512278163877,165
2013-01-22,-211.139,24.639,0.4847116653406591,1187
2013-01-23,47.873000000000005,123.62700000000001,0.5190088423334205,829
2013-01-24,-835.2014999999999,-69.29849999999999,0.37293194111173233,1905
2013-01-25,-448.8805,-224.61950000000002,0.4262542604797772,1674
2013-01-26,60.227,16.273,0.5107123026243263,924
2013-01-27,-791.62175,112.12174999999999,0.4259256256213243,1680
2013-01-28,287.36375,107.13624999999999,0.5424453049970481,606
2013-01-29,-471.283,17.783,0.4540454989592419,1454
2013-01-30,-272.62924999999996,-41.87075,0.4717481381602174,1315
2013-01-31,-470.476,61.976,0.45993469698802136,1409
2013-02-01,950.1532500000001,-45.65325,0.6384467927636703,96
2013-02-02,-39.09625,40.59625,0.5036837997145276,999
2013-02-03,-745.12125,29.621250000000003,0.4204378272751943,1716
2013-02-04,569.918,74.582,0.5764056920432439,356
2013-02-05,-825.238,169.738,0.42992910839142906,1656
2013-02-06,148.925,39.575,0.5206332472721682,812
2013-02-07,-943.175,-21.325,0.338136753832543,1965
2013-02-08,-831.6469999999999,-0.8530000000000001,0.39348937296620556,1833
2013-02-09,98.78875,-155.28875,0.49805813982063873,1057
2013-02-10,522.259,-50.759,0.5521301950887423,529
2013-02-11,100.38550000000001,-35.8855,0.5096166381140667,936
2013-02-12,-133.247,-42.253,0.48550725342959483,1176
2013-02-13,-276.14599999999996,7.646,0.4774352530731941,1269
2013-02-14,-858.1927499999999,-43.30725,0.3734940414467838,1902
2013-02-15,-544.3435,87.8435,0.45362277000166806,1457
2013-02-16,-387.27025000000003,-4.22975,0.463150968972399,1392
2013-02-17,683.25775,-0.75775,0.5844767748861273,318
2013-02-18,240.44074999999998,-26.94075,0.5242105160003477,787
2013-02-19,-935.8045,8.3045,0.36050869440957106,1928
2013-02-20,239.55875,69.94125,0.5341777001982599,691
2013-02-21,-337.4715,-67.02850000000001,0.46052211540958565,1405
2013-02-22,-525.7407499999999,-48.75925,0.43926507508477075,1575
2013-02-23,442.53175,-21.031750000000002,0.5458968428195028,579
2013-02-24,684.298,-83.798,0.569021252564944,400
2013-02-25,636.144,-48.644000000000005,0.566309830932081,413
2013-02-26,-629.0260000000001,-36.474000000000004,0.42810038940674233,1666
2013-02-27,-266.962,74.46199999999999,0.48400690173903016,1193
2013-02-28,238.92925000000002,23.570749999999997,0.5291266878023043,738
2013-03-01,645.221,12.279,0.5799795092834642,343
2013-03-02,-390.76575,65.26575,0.4701750405940565,1326
2013-03-03,-186.534,-11.966,0.48377356398290067,1199
2013-03-04,-762.5165,24.0165,0.4153978505788067,1739
2013-03-05,-791.88225,-7.61775,0.4032712525442214,1800
2013-03-06,569.58825,22.911749999999998,0.5676556892855321,408
2013-03-07,811.287,-30.787,0.6026716157095501,220
2013-03-08,-125.7655,-205.7345,0.46985101869080903,1332
2013-03-09,661.3454999999999,-7.8455,0.578939840209499,347
2013-03-10,278.39549999999997,122.1045,0.54315836336481,600
2013-03-11,-493.4675,75.9675,0.457652573654006,1418
2013-03-12,269.97725,81.52275,0.538565623286585,649
2013-03-13,833.7570000000001,67.743,0.6354042325353397,99
2013-03-14,-63.739000000000004,6.239,0.4980204927808183,1058
2013-03-15,859.91275,12.587250000000001,0.6271446495391765,128
2013-03-16,-968.0935,-22.406499999999998,0.28424387271847695,1991
2013-03-17,575.013,-18.513,0.5625914717897474,444
2013-03-18,51.418000000000006,58.081999999999994,0.5131214769567651,891
2013-03-19,-252.4595,104.95949999999999,0.4881182563344188,1148
2013-03-20,39.40625,-11.90625,0.5059463993660303,973
2013-03-21,-948.24125,-19.25875,0.3364925941834145,1968
2013-03-22,-212.2765,-1.2235,0.482431528561565,1214
2013-03-23,261.85875,50.64125,0.5345810732102309,688
2013-03-24,863.51275,-77.01275,0.6037929754179859,214
2013-03-25,-436.44899999999996,-179.051,0.43557657300673586,1616
2013-03-26,-612.51075,-43.98925,0.4298151432736292,1657
2013-03-27,-415.5475,-92.9525,0.4476523122540955,1509
2013-03-28,625.707,-29.207,0.5681507674396928,404
2013-03-29,232.69875000000002,-10.19875,0.5248222855846001,778
2013-03-30,-428.135,-32.364999999999995,0.45308669960840675,1461
2013-03-31,383.98474999999996,115.51525,0.5555860699937759,501
2013-04-01,51.29325,29.20675,0.5110336515938665,920
2013-04-02,642.73275,20.76725,0.5804963428387395,337
2013-04-03,-535.81825,49.31825,0.4500578239302459,1487
2013-04-04,-302.14175,-91.35825,0.46239869709437087,1394
2013-04-05,-330.055,81.555,0.4790224656236301,1249
2013-04-06,-868.41,-4.09,0.38216116128407596,1873
2013-04-07,214.257,55.242999999999995,0.5303944283375783,731
2013-04-08,163.30124999999998,-92.80125000000001,0.5101658494439897,930
2013-04-09,-50.80825,-131.69175,0.4848714888712362,1183
2013-04-10,-210.80225000000002,70.30225,0.4894119259102385,1141
