,nl,ns,score,ranking
2013-01-01,0.02258150032377463,-0.01671839433397521,0.5079562507762021,914
2013-01-02,-0.009167422385346256,-0.0034519042275035754,0.48947381817355284,1183
2013-01-03,0.030130219578247568,-0.019649435484614702,0.5125739288800356,840
2013-01-04,0.0738972854936141,-0.007537975700591662,0.5684524545794253,233
2013-01-05,-0.013961876062953835,-0.04717930413346036,0.44095196458998853,1740
2013-01-06,-0.013961055174246055,0.005493405224707839,0.49362549483686446,1114
2013-01-07,0.07670643344858254,0.0001911994244399737,0.5789907776594252,174
2013-01-08,0.03611752913085848,-0.020266153236320375,0.5179445206809408,756
2013-01-09,-0.025727926623534625,0.01664220425119444,0.4930074224140625,1129
2013-01-10,0.02487379485251119,0.02360031598104828,0.5505672556199621,375
2013-01-11,-0.025425091967410135,-0.04002793406884003,0.4366401187501525,1769
2013-01-12,-0.0255406950052999,-0.018907056923771006,0.4576453928573318,1583
2013-01-13,0.009843906251514694,-0.019067496204298096,0.49286955483361927,1132
2013-01-14,-0.09791821955967688,-0.023336514987337277,0.38083841023938847,1976
2013-01-15,-0.08850009895243878,0.020897933588678107,0.43449097942264203,1784
2013-01-16,-0.03036858378883566,-0.004684590928935717,0.4670399700686313,1474
2013-01-17,-0.05289576334350822,-0.006451808492380919,0.44274557295051353,1730
2013-01-18,0.013458159302976664,-0.049935496569784465,0.46561580751959486,1496
2013-01-19,-0.04765541110284758,0.016046513295615038,0.47048424697917013,1428
2013-01-20,-0.07286939239355143,-0.03082039733095248,0.3984033550618986,1943
2013-01-21,0.0710282311192908,0.001659378297042533,0.5747807542027359,191
2013-01-22,-0.013543022351113803,0.007095485989339133,0.495645608424628,1077
2013-01-23,0.0011222029076091576,0.034177527436350635,0.5373928751303625,527
2013-01-24,-0.07349161663745978,-0.032559447437593494,0.39604208071134933,1950
2013-01-25,-0.029473343553046146,-0.07532674135513628,0.3972930598782203,1947
2013-01-26,0.003291922158706311,0.004757301159226767,0.5101423681043358,874
2013-01-27,-0.059803886197902126,0.045173842078155814,0.4874631006666562,1219
2013-01-28,0.016530693590496547,0.03113472136387025,0.5497585597407695,385
2013-01-29,-0.03228614182272728,0.005402547922249993,0.4752095508859254,1366
2013-01-30,-0.016838894816450883,-0.01212984210041683,0.47312440786953497,1389
2013-01-31,-0.032339537938256904,0.02033912745631713,0.49009273430446293,1172
2013-02-01,0.09035970189865991,-0.02417759245222739,0.5682752542328351,235
2013-02-02,-0.002929068563683729,0.012070006774289845,0.5112340829970088,860
2013-02-03,-0.055139753774582,0.012797816519550035,0.45975120753137066,1559
2013-02-04,0.03887303827837242,0.0266663102278564,0.5676324932926314,237
2013-02-05,-0.06329638982533808,0.06915256351316125,0.5079493184742259,915
2013-02-06,0.008188972423450727,0.009971461719853513,0.5202535789297069,732
2013-02-07,-0.10023771352077555,-0.01256302810230311,0.38929240316332375,1965
2013-02-08,-0.06866350977170854,-0.0004782952644155332,0.43295133975027855,1799
2013-02-09,0.007588854466669134,-0.04406583508184359,0.4656161641712282,1495
2013-02-10,0.03466912167298348,-0.017206765736842124,0.5195555007225441,741
2013-02-11,0.00631420673271149,-0.010070998412443261,0.4983363531066709,1032
2013-02-12,-0.008036621446199042,-0.012941147407980438,0.4811153759322232,1299
2013-02-13,-0.01730939210625148,0.003969934341227402,0.4887536870213786,1200
2013-02-14,-0.07618030684515831,-0.020399435769170693,0.4055134021720736,1916
2013-02-15,-0.038246417746522474,0.028186829223496107,0.49203355626337636,1148
2013-02-16,-0.025286145874776404,0.0001662391633392434,0.4769732380749655,1343
2013-02-17,0.0506019039841587,-7.144548808098113e-05,0.5526236032824805,357
2013-02-18,0.014926707151636005,-0.008036305372438613,0.5089835465656001,890
2013-02-19,-0.09040621509492372,0.004040829636858823,0.4157277593283378,1880
2013-02-20,0.013949991142952693,0.020788519157075202,0.5368316550864306,534
