,nl,ns,score,ranking
2013-01-01,0.0135,-0.1135,0.4829271520612494,1307
2013-01-02,-0.015000000000000001,-0.08499999999999999,0.4914539671479556,1157
2013-01-03,0.0195,-0.11950000000000001,0.4812569739220154,1334
2013-01-04,0.07675,-0.17675000000000002,0.518142135942599,712
2013-01-05,-0.0175,-0.0825,0.4195723458273819,1941
2013-01-06,-0.022500000000000003,-0.0775,0.503849009155934,932
2013-01-07,0.07925,-0.17925000000000002,0.5316324753246369,482
2013-01-08,0.02675,-0.12675,0.4826651493403306,1312
2013-01-09,-0.06275,-0.03725,0.5169803390185972,727
2013-01-10,-0.07575,-0.02425,0.5483540063767816,279
2013-01-11,-0.0235,-0.0765,0.4264292515689918,1910
2013-01-12,-0.02375,-0.07625,0.4601764137859463,1624
2013-01-13,-0.001,-0.099,0.47407355143982877,1442
2013-01-14,-0.04625,-0.053750000000000006,0.42413827106248947,1922
2013-01-15,-0.11,0.01,0.49868063702700927,1038
2013-01-16,-0.027,-0.07300000000000001,0.4810012038642684,1338
2013-01-17,-0.03625,-0.06375,0.4691627839408871,1520
2013-01-18,0.002,-0.10200000000000001,0.4261304520756354,1914
2013-01-19,-0.069,-0.031,0.5072562396979449,883
2013-01-20,-0.04325,-0.05675,0.42218359017915524,1929
2013-01-21,0.07175,-0.17175,0.5317102805890842,481
2013-01-22,-0.0235,-0.0765,0.506579551508597,895
2013-01-23,-0.24525,0.14525,0.5557769079273045,202
2013-01-24,-0.04325,-0.05675,0.4191522203109664,1944
2013-01-25,-0.0265,-0.07350000000000001,0.3683318592766634,1998
2013-01-26,-0.00975,-0.09025,0.5095724335843452,842
2013-01-27,-0.43925000000000003,0.33925,0.549000575711988,272
2013-01-28,0.31875,0.58125,0.557071814484491,194
2013-01-29,-0.033,-0.067,0.49637360281260895,1077
2013-01-30,-0.01975,-0.08025,0.4745006775788526,1437
2013-01-31,-0.08650000000000001,-0.013499999999999998,0.5202507716209045,680
2013-02-01,0.1055,-0.20550000000000002,0.49810371570199996,1046
2013-02-02,-0.026750000000000003,-0.07325000000000001,0.5187843662794902,699
2013-02-03,-0.056499999999999995,-0.0435,0.49906458778754714,1029
2013-02-04,0.40625,0.49375,0.558859294542019,186
2013-02-05,-0.03825,0.93825,0.5859695285570227,62
2013-02-06,-0.015,-0.08499999999999999,0.5198739105872459,687
2013-02-07,-0.0465,-0.053500000000000006,0.44044805249410457,1812
2013-02-08,-0.043000000000000003,-0.057,0.4724133065343516,1471
2013-02-09,-0.00225,-0.09775,0.43317418852181777,1873
2013-02-10,0.025,-0.125,0.4869808063563459,1232
2013-02-11,-0.0032500000000000003,-0.09675,0.48705606809927526,1229
2013-02-12,-0.0135,-0.0865,0.4767234984348515,1406
2013-02-13,-0.023,-0.077,0.5000721209695631,1006
2013-02-14,-0.0435,-0.0565,0.4375327628973634,1838
2013-02-15,-0.17575,0.07575,0.5304443425250847,505
2013-02-16,-0.0245,-0.0755,0.4907955071775321,1162
2013-02-17,0.042499999999999996,-0.14250000000000002,0.5207704316788337,674
2013-02-18,0.00375,-0.10375000000000001,0.4937565771308525,1112
2013-02-19,-0.04875,-0.05125,0.4709468242471045,1499
2013-02-20,-0.061,-0.039,0.5394856099746013,374
2013-02-21,-0.02175,-0.07825,0.45761314576323764,1653
2013-02-22,-0.0295,-0.07050000000000001,0.4601369004308706,1625
2013-02-23,0.017499999999999998,-0.11750000000000001,0.5000844846257507,1005
2013-02-24,0.0405,-0.1405,0.4667851535109905,1546
2013-02-25,0.035,-0.135,0.4858552879934641,1250
2013-02-26,-0.03325,-0.06675,0.46416681459376086,1576
2013-02-27,-0.095,-0.0049999999999999975,0.5287913197114849,535
2013-02-28,-0.00275,-0.09725,0.5171277217881483,726
2013-03-01,0.0325,-0.1325,0.527254498997149,572
2013-03-02,-0.0935,-0.006499999999999999,0.5244524337298131,616
2013-03-03,-0.01675,-0.08325,0.49079194893074785,1163
2013-03-04,-0.050249999999999996,-0.04975,0.493491894517035,1118
2013-03-05,-0.0405,-0.059500000000000004,0.47194699740108675,1482
2013-03-06,0.02325,-0.12325,0.5268650104238691,577
2013-03-07,0.064,-0.164,0.5038144542669533,934
2013-03-08,-0.01125,-0.08875,0.4010071112373362,1979
2013-03-09,0.03775,-0.13774999999999998,0.5146994914703884,752
2013-03-10,0.24075,0.65925,0.5641426459449503,155
2013-03-11,-0.11574999999999999,0.015749999999999997,0.5241462209975613,618
2013-03-12,-0.091,-0.009000000000000001,0.5458438114938151,310
2013-03-13,0.39075,0.50925,0.5802059602015681,78
2013-03-14,-0.01175,-0.08825,0.5028297828562586,955
2013-03-15,0.074,-0.174,0.539185501412504,382
2013-03-16,-0.048,-0.052000000000000005,0.42289902210083113,1923
2013-03-17,0.0295,-0.1295,0.5037951358464225,937
2013-03-18,-0.03825,-0.06175,0.5263717873556091,584
2013-03-19,-0.19474999999999998,0.09475,0.5421752304774353,353
2013-03-20,-0.007,-0.093,0.4962573645034701,1080
2013-03-21,-0.0465,-0.053500000000000006,0.44224105111392575,1795
2013-03-22,-0.017750000000000002,-0.08225,0.49562768059751366,1090
2013-03-23,-0.0245,-0.0755,0.5311905213873995,492
2013-03-24,0.07375,-0.17375000000000002,0.4718036882494887,1486
2013-03-25,-0.0255,-0.07450000000000001,0.3977873575090376,1981
2013-03-26,-0.03275,-0.06725,0.46180865396247295,1604
