,n,b,score,ranking
2013-01-01,203.39249999999998,490.1075,0.6397371322408987,307
2013-01-02,-94.25725,-481.24275,0.3889388559063052,1576
2013-01-03,261.68925,485.81075,0.6518150830480554,253
2013-01-04,525.66625,-443.16625,0.5218423885126421,918
2013-01-05,-138.5375,-483.9625,0.38126773002213316,1623
2013-01-06,-99.146,493.64599999999996,0.5812690434440655,606
2013-01-07,543.9465,-440.4465,0.5263370252405913,897
2013-01-08,303.68925,485.81075,0.6613947783322327,211
2013-01-09,-194.80525,485.30525,0.5624420491252038,710
2013-01-10,194.28125,-477.78125,0.44340480348687716,1284
2013-01-11,-214.20225,-476.29774999999995,0.36292658457500304,1691
2013-01-12,-192.80525,485.30525,0.5627416197143795,708
2013-01-13,106.11775,492.38225,0.6193569817252828,402
2013-01-14,-567.44325,-408.05674999999997,0.24693758042737618,1976
2013-01-15,-540.60825,-422.89175,0.26200657339895733,1964
2013-01-16,-252.933,-474.567,0.3550169976607222,1728
2013-01-17,-401.3065,-463.1935,0.3189735103732461,1865
2013-01-18,134.62324999999998,491.87675,0.625139786607622,374
2013-01-19,-367.948,475.448,0.5273580739583031,893
2013-01-20,-525.95875,453.45875,0.4870157038931767,1073
2013-01-21,468.52475,454.97525,0.7172519015137244,77
2013-01-22,-135.5375,-483.9625,0.3819378959610772,1620
2013-01-23,-3.9989999999999988,-480.501,0.4054022563750339,1485
2013-01-24,-533.1895,451.6895,0.48602014510292346,1082
2013-01-25,-221.81625,486.31625,0.5564493820379854,736
2013-01-26,51.106750000000005,493.39324999999997,0.6088738071767894,456
2013-01-27,-446.61825,468.11825,0.5079205138062157,979
2013-01-28,160.3705,492.1295,0.6300558414676538,348
2013-01-29,-249.77224999999999,482.27225,0.5519489048064956,768
2013-01-30,-123.6295,492.1295,0.5766645000165378,632
2013-01-31,-250.77224999999999,482.27225,0.5518634710216483,769
2013-02-01,540.558,428.942,0.7481822547607151,31
2013-02-02,-38.5265,-482.9735,0.39892022202096533,1522
2013-02-03,-416.904,471.404,0.515383125683528,946
2013-02-04,293.29224999999997,-476.79224999999997,0.46580359296825513,1184
2013-02-05,-444.47675000000004,-456.02324999999996,0.30233250800231826,1901
2013-02-06,93.10675,493.39324999999997,0.6167090876003805,414
2013-02-07,-697.00225,411.50225,0.443226390089618,1286
