,n,b,score,ranking
2013-01-01,-0.1575,0.0575,0.7748357076505616,305
2013-01-02,-0.05,-0.05,0.24308678494144076,1580
2013-01-03,-0.1575,0.0575,0.7823844269050346,252
2013-01-04,0.19725,-0.29725,0.3261514928204013,1071
2013-01-05,-0.05,-0.05,0.2382923312638332,1625
2013-01-06,-0.1575,0.0575,0.738293152152541,591
2013-01-07,0.19725,-0.29725,0.3289606407753696,1063
2013-01-08,-0.1575,0.0575,0.7883717364576455,210
2013-01-09,-0.1575,0.0575,0.7265262807032524,682
2013-01-10,-0.05,-0.05,0.2771280021792982,1303
2013-01-11,-0.05,-0.05,0.2268291153593769,1692
2013-01-12,-0.1575,0.0575,0.7267135123214872,680
2013-01-13,-0.1575,0.0575,0.7620981135783017,400
2013-01-14,-0.05,-0.05,0.1543359877671101,1976
2013-01-15,-0.05,-0.05,0.16375410837434834,1964
2013-01-16,-0.05,-0.05,0.22188562353795135,1729
2013-01-17,-0.05,-0.05,0.19935844398327882,1865
2013-01-18,-0.1575,0.0575,0.7657123666297637,372
2013-01-19,-0.1575,0.0575,0.7045987962239395,822
2013-01-20,-0.1575,0.0575,0.6793848149332354,920
2013-01-21,0.58975,0.31024999999999997,0.8232824384460777,77
2013-01-22,-0.05,-0.05,0.23871118497567323,1622
2013-01-23,-0.05,-0.05,0.25337641023439617,1493
2013-01-24,-0.1575,0.0575,0.6787625906893271,924
2013-01-25,-0.1575,0.0575,0.7227808637737408,705
2013-01-26,-0.1575,0.0575,0.7555461294854933,452
2013-01-27,-0.1575,0.0575,0.6924503211288848,875
2013-01-28,-0.1575,0.0575,0.7687849009172836,346
2013-01-29,-0.1575,0.0575,0.7199680655040598,733
2013-01-30,-0.1575,0.0575,0.7354153125103362,616
2013-01-31,-0.1575,0.0575,0.7199146693885301,734
2013-02-01,0.58975,0.31024999999999997,0.8426139092254469,31
2013-02-02,-0.05,-0.05,0.2493251387631033,1528
2013-02-03,-0.1575,0.0575,0.6971144535522049,855
2013-02-04,0.19725,-0.29725,0.29112724560515946,1216
2013-02-05,-0.05,-0.05,0.18895781750144888,1901
2013-02-06,-0.1575,0.0575,0.7604431797502378,411
2013-02-07,-0.1575,0.0575,0.6520164938060112,971
2013-02-08,-0.05,-0.05,0.18359069755507845,1917
2013-02-09,-0.05,-0.05,0.2598430617934562,1441
2013-02-10,-0.1575,0.0575,0.7869233289997706,223
2013-02-11,-0.05,-0.05,0.25856841405949854,1458
2013-02-12,-0.1575,0.0575,0.744217585880588,553
2013-02-13,-0.1575,0.0575,0.7349448152205356,622
2013-02-14,-0.1575,0.0575,0.6760739004816286,931
2013-02-15,-0.05,-0.05,0.21400778958026456,1787
2013-02-16,-0.05,-0.05,0.22696806145201062,1690
2013-02-17,0.58975,0.31024999999999997,0.8028561113109458,145
2013-02-18,-0.05,-0.05,0.26718091447842307,1381
2013-02-19,-0.05,-0.05,0.1618479922318633,1968
2013-02-20,-0.05,-0.05,0.26620419846973975,1390
2013-02-21,-0.05,-0.05,0.23074588597918416,1674
2013-02-22,-0.05,-0.05,0.21615389998470205,1770
2013-02-23,-0.05,-0.05,0.2805838144420434,1277
2013-02-24,0.19725,-0.29725,0.30154997612479756,1156
2013-02-25,0.58975,0.31024999999999997,0.7965640059558099,174
2013-02-26,-0.05,-0.05,0.20803912383886808,1821
2013-02-27,-0.05,-0.05,0.23453938120743928,1648
2013-02-28,-0.05,-0.05,0.26656317157017817,1385
2013-03-01,0.19725,-0.29725,0.29877725635611796,1171
2013-03-02,-0.05,-0.05,0.2260412881077355,1702
2013-03-03,-0.05,-0.05,0.24071705116680914,1602
2013-03-04,-0.05,-0.05,0.1946832512996986,1883
2013-03-05,-0.05,-0.05,0.19018966879596647,1898
2013-03-06,-0.1575,0.0575,0.79062629111971,201
2013-03-07,0.19725,-0.29725,0.31781200142854116,1092
2013-03-08,-0.05,-0.05,0.24639949392098331,1555
2013-03-09,0.19725,-0.29725,0.3001766448946012,1164
2013-03-10,-0.05,-0.05,0.2680818012523817,1376
2013-03-11,-0.1575,0.0575,0.7177440122697438,748
2013-03-12,-0.1575,0.0575,0.7680697802754207,351
2013-03-13,0.58975,0.31024999999999997,0.8269018283232985,63
2013-03-14,-0.1575,0.0575,0.7482086980445024,518
2013-03-15,0.58975,0.31024999999999997,0.8282321827907003,58
2013-03-16,-0.1575,0.0575,0.6190127447955127,985
