,u,b,score,ranking
2013-01-01,-119.80099999999999,516.3009999999999,0.8749080237694725,604
2013-01-02,458.1635,-480.6635,0.19014286128198324,1023
2013-01-03,237.84475,-483.34475,0.146398788362281,1246
2013-01-04,90.69475,-489.19475,0.11973169683940732,1399
2013-01-05,-326.10725,518.60725,0.8312037280884873,808
2013-01-06,-326.851,518.351,0.8311989040672406,809
2013-01-07,-433.18225,521.68225,0.8116167224336399,912
2013-01-08,354.9115,507.58849999999995,0.9732352291549871,138
2013-01-09,93.50525,513.99475,0.9202230023486418,393
2013-01-10,206.11775,509.38225,0.9416145155592092,285
2013-01-11,-475.901,520.401,0.8041168988591605,956
2013-01-12,476.86975,-482.36975,0.19398197043239887,1006
2013-01-13,329.63025,508.86974999999995,0.9664885281600843,162
2013-01-14,-278.35524999999996,-491.14475000000004,0.04246782213565523,1770
2013-01-15,-306.1615,-493.3385,0.03636499344142013,1800
2013-01-16,-294.851,518.351,0.8366809019706868,777
2013-01-17,-185.59475,518.09475,0.8608484485919076,668
2013-01-18,20.74475,-487.24475,0.10495128632644757,1467
2013-01-19,-70.84275,-490.65725,0.08638900372842316,1562
2013-01-20,-193.901,520.401,0.8582458280396085,674
2013-01-21,104.50525,513.99475,0.9223705789444759,382
2013-01-22,-354.2115,-495.2885,0.027898772130408367,1850
2013-01-23,-192.901,520.401,0.8584289297070437,673
2013-01-24,-129.3135,516.8135,0.8732723686587384,613
2013-01-25,-48.650999999999996,510.15099999999995,0.8912139968434072,539
2013-01-26,290.1385,-481.6385,0.15703519227860274,1192
2013-01-27,-290.649,-492.851,0.03993475643167195,1784
2013-01-28,9.282250000000001,-485.78225,0.10284688768272232,1477
2013-01-29,83.274,513.226,0.9184829137724085,404
2013-01-30,-441.66975,521.16975,0.8092900825439996,921
2013-01-31,99.20724999999999,-488.70725000000004,0.12150897038028768,1390
2013-02-01,-323.45525,-495.04475,0.03410482473745831,1819
2013-02-02,-441.2115,-495.2885,0.013010318597055905,1937
2013-02-03,436.9865,504.51349999999996,0.9897771074506667,59
2013-02-04,471.40725,-480.90725,0.19312640661491187,1010
2013-02-05,315.35725,-482.85725,0.16167946962329224,1168
2013-02-06,-184.851,518.351,0.8609227538346742,667
2013-02-07,-388.15725,520.65725,0.8195344228012769,868
2013-02-08,183.04275,512.4572499999999,0.9368466053024315,305
2013-02-09,-59.524,-487.976,0.08803049874792027,1548
2013-02-10,-357.951,522.451,0.8244076469689559,836
2013-02-11,-15.675999999999998,511.176,0.8990353820222541,505
2013-02-12,-472.99275,-496.50725,0.006877704223043679,1970
2013-02-13,400.9865,504.51349999999996,0.9818640804157565,95
2013-02-14,-234.94275,-494.55725,0.05175599632000338,1730
2013-02-15,164.45100000000002,-488.951,0.1325044568707964,1325
2013-02-16,-180.08225,517.5822499999999,0.8623422152178822,663
2013-02-17,11.092749999999999,510.40725,0.9040136042355622,479
2013-02-18,42.48025,515.0197499999999,0.909342055868656,443
2013-02-19,-293.59475,518.09475,0.8369708911051055,776
2013-02-20,461.9365,506.5635,0.9939169255529118,32
2013-02-21,266.9365,506.5635,0.9550265646722229,227
2013-02-22,444.40725,-480.90725,0.18789978831283782,1037
2013-02-23,402.651,-481.151,0.17896547008552977,1079
2013-02-24,90.50525,513.99475,0.919579995762217,396
2013-02-25,425.651,-481.151,0.18437484700462337,1056
2013-02-26,-399.61975,519.11975,0.8176985004103839,881
2013-02-27,-293.1615,-493.3385,0.039196572483829045,1787
2013-02-28,-458.2115,-495.2885,0.009045457782107613,1954
2013-03-01,-174.649,-492.851,0.06506606615265287,1668
2013-03-02,-105.36349999999999,518.8634999999999,0.8777354579378964,587
2013-03-03,-224.94275,-494.55725,0.05426980635477918,1720
2013-03-04,325.14275,508.35724999999996,0.9657475018303859,167
2013-03-05,-143.1365,-492.36350000000004,0.07135066533871785,1636
2013-03-06,-214.94275,-494.55725,0.05618690193747616,1710
2013-03-07,36.938500000000005,-489.4385,0.1085392166316497,1453
2013-03-08,-350.1865,-494.3135,0.02818484499495253,1845
2013-03-09,307.86975,-482.36975,0.16043939615080793,1175
2013-03-10,-417.36350000000004,518.8634999999999,0.8149101287359543,899
2013-03-11,478.70525,505.79474999999996,0.9973773873201035,16
2013-03-12,278.38225,-481.88225,0.1544489538593315,1204
2013-03-13,-291.649,-492.851,0.03974313630683449,1785
2013-03-14,-503.1865,-494.3135,0.00110442342472048,1998
2013-03-15,323.626,-482.126,0.16309228569096684,1159
2013-03-16,204.374,509.126,0.9413714687695235,287
2013-03-17,234.33225,-483.83225000000004,0.14580143360819747,1250
2013-03-18,263.9365,506.5635,0.9542540693371893,230
2013-03-19,-427.91774999999996,-493.58225000000004,0.014808930346818072,1922
2013-03-20,-134.82600000000002,517.326,0.8716931457088546,618
2013-03-21,-383.45525,-495.04475,0.023173811905025946,1879
2013-03-22,363.601,-483.101,0.17262068517511872,1120
2013-03-23,119.50525,513.99475,0.9246596253655116,367
2013-03-24,-170.40525,-493.09475,0.06617960497052984,1664
2013-03-25,-443.48024999999996,-496.01975000000004,0.012711670057204728,1940
2013-03-26,-188.38025,-492.11975,0.062196464343132446,1681
2013-03-27,-166.851,518.351,0.8650366644053494,649
2013-03-28,235.84475,-483.34475,0.1459212356676128,1248
2013-03-29,137.69475,-489.19475,0.12751149427104264,1352
2013-03-30,377.9865,504.51349999999996,0.9774425485152654,118
2013-03-31,-36.907250000000005,510.40725,0.89444298503239,527
2013-04-01,-364.901,520.401,0.8239188491876603,845
2013-04-02,218.57600000000002,-484.076,0.14264895744459902,1266
2013-04-03,264.86975,-482.36975,0.1521570097233795,1218
2013-04-04,54.69475,-489.19475,0.11225543951389926,1435
2013-04-05,263.19275,506.30724999999995,0.9541934359909122,231
2013-04-06,-12.23025,-486.26975000000004,0.09875911927287816,1499
2013-04-07,19.0135,-486.5135,0.10454656587639882,1468
2013-04-08,-71.2885,515.7885,0.88550820367171,556
2013-04-09,-469.15725,520.65725,0.8050838253488191,949
2013-04-10,-376.15725,520.65725,0.821578285398661,856
2013-04-11,-460.66975,521.16975,0.8062858371373469,940
2013-04-12,136.249,514.251,0.9272820822527561,350
2013-04-13,-186.1365,-492.36350000000004,0.06287119621526534,1679
2013-04-14,-1.1635,510.6635,0.9017141382329406,491
2013-04-15,417.1885,-479.6885,0.1815132947852186,1063
2013-04-16,-242.1615,-493.3385,0.04985844582977499,1736
2013-04-17,-86.3135,516.8135,0.882076584607126,570
2013-04-18,247.9365,506.5635,0.9511102277086098,246
2013-04-19,-256.56975,517.06975,0.8457596330983246,740
2013-04-20,-424.91774999999996,-493.58225000000004,0.0153959819657586,1919
2013-04-21,-194.64475,520.1447499999999,0.8579502905827536,675
2013-04-22,-320.13225,519.63225,0.8322442574508009,801
2013-04-23,417.474,505.02599999999995,0.9859395304685147,78
2013-04-24,302.9115,507.58849999999995,0.9616240759128835,190
2013-04-25,132.01774999999998,513.48225,0.9266807513020847,355
2013-04-26,376.626,-482.126,0.17429211803754355,1106
2013-04-27,310.11350000000004,-482.61350000000004,0.16073441537982291,1173
2013-04-28,-298.40525,-493.09475,0.03731401177720717,1792
2013-04-29,383.21775,505.28225,0.9785117996979956,112
2013-04-30,31.761499999999998,513.7384999999999,0.9078684483831302,455
2013-05-01,301.9115,507.58849999999995,0.9614880310328126,191
2013-05-02,405.1635,-480.6635,0.17921825998469865,1076
2013-05-03,-176.56975,517.06975,0.8636006949943729,660
2013-05-04,-375.15725,520.65725,0.8220103849055354,855
2013-05-05,-259.54475,516.04475,0.8455870325083884,744
2013-05-06,-75.84275,-490.65725,0.08542155772525127,1567
2013-05-07,315.44899999999996,506.051,0.9636029531844987,179
2013-05-08,358.576,-484.076,0.1721461166512687,1126
2013-05-09,-489.64475000000004,520.1447499999999,0.8013904261062382,970
2013-05-10,6.038500000000001,-485.5385,0.10214946051551316,1480
2013-05-11,-86.35525000000001,-491.14475000000004,0.08348220062975581,1578
2013-05-12,-270.89275,-492.60725,0.04442156209414605,1764
2013-05-13,-363.4135,520.9135,0.8239730734667366,843
2013-05-14,-155.10725000000002,518.60725,0.8675230342807256,637
2013-05-15,449.1885,-479.6885,0.18858194078250384,1031
2013-05-16,-179.40525,-493.09475,0.06464058640415105,1673
2013-05-17,8.09275,510.40725,0.9037581243486733,482
