,u,b,score,ranking
2013-01-01,-0.062048405201153095,0.25625,0.6872700594236812,604
2013-01-02,0.22603868858012388,-0.24375,0.4753571532049581,1023
2013-01-03,0.11667850628086832,-0.24374999999999997,0.36599697090570255,1246
2013-01-04,0.050010777473684,-0.24375,0.2993292420985183,1399
2013-01-05,-0.17130914440361628,0.25625,0.5780093202212182,808
2013-01-06,-0.17132120445673293,0.25625,0.5779972601681014,809
2013-01-07,-0.22027665854073486,0.25625,0.5290418060840998,912
2013-01-08,0.1837696082626332,0.25625,0.9330880728874675,138
2013-01-09,0.051239041246770006,0.25625,0.8005575058716043,393
2013-01-10,0.10471782427318836,0.25625,0.8540362888980227,285
2013-01-11,-0.23902621747693317,0.25625,0.5102922471479012,956
2013-01-12,0.23563646145616304,-0.24374999999999997,0.48495492608099716,1006
2013-01-13,0.1669028557753765,0.25625,0.9162213204002109,162
2013-01-14,-0.1431489092856964,-0.24375,0.10616955533913808,1770
2013-01-15,-0.1584059810212844,-0.24375,0.09091248360355031,1800
2013-01-16,-0.1576162096981173,0.25625,0.5917022549267169,777
2013-01-17,-0.09719734314506542,0.25625,0.6521211214797689,668
2013-01-18,0.013059751191284639,-0.24375,0.2623782158161189,1467
2013-01-19,-0.033345955303776514,-0.24374999999999997,0.21597250932105788,1562
2013-01-20,-0.10370389452581343,0.25625,0.645614570099021,674
2013-01-21,0.056607982736355485,0.25625,0.8059264473611898,382
2013-01-22,-0.1795715342988136,-0.24375,0.06974693032602092,1850
2013-01-23,-0.10324614035722521,0.25625,0.6460723242676091,673
2013-01-24,-0.06613754297798843,0.25625,0.6831809216468459,613
2013-01-25,-0.021283472516316387,0.25625,0.728034992108518,539
2013-01-26,0.14326951607167235,-0.24375,0.3925879806965068,1192
2013-01-27,-0.14948157354565456,-0.24374999999999997,0.09983689107917987,1784
2013-01-28,0.007798754581971507,-0.24375,0.2571172192068058,1477
2013-01-29,0.046888819806186935,0.25625,0.7962072844310213,404
2013-01-30,-0.22609325826483553,0.25625,0.5232252063599989,921
2013-01-31,0.054453961325884884,-0.24375,0.3037724259507192,1390
2013-02-01,-0.16405640278118866,-0.24374999999999997,0.08526206184364576,1819
2013-02-02,-0.21679266813219467,-0.24375,0.03252579649263976,1937
2013-02-03,0.2251243040018322,0.25625,0.9744427686266666,59
2013-02-04,0.2334975519124454,-0.24375,0.4828160165372797,1010
2013-02-05,0.15488020943339628,-0.24375,0.40419867405823057,1168
2013-02-06,-0.09701158003814894,0.25625,0.6523068845866853,667
2013-02-07,-0.20048240762164232,0.25625,0.5488360570031919,868
2013-02-08,0.09279804863124416,0.25625,0.8421165132560784,305
2013-02-09,-0.029242217755033696,-0.24375,0.22007624686980065,1548
2013-02-10,-0.18829934720244504,0.25625,0.5610191174223894,836
2013-02-11,-0.001730009569199218,0.25625,0.7475884550556351,505
2013-02-12,-0.23212420406722506,-0.24375,0.017194260557609198,1970
2013-02-13,0.20534173641455697,0.25625,0.954660201039391,95
2013-02-14,-0.11992847382482599,-0.24375,0.12938999080000846,1730
2013-02-15,0.08194267755215662,-0.24375,0.331261142176991,1325
2013-02-16,-0.09346292658012892,0.25625,0.6558555380447055,663
2013-02-17,0.010715545964071102,0.25625,0.7600340105889054,479
2013-02-18,0.024036675046805508,0.25625,0.7733551396716398,443
2013-02-19,-0.1568912368620708,0.25625,0.5924272277627636,776
2013-02-20,0.2354738492574448,0.25625,0.9847923138822793,32
2013-02-21,0.13824794705572271,0.25625,0.8875664116805573,227
2013-02-22,0.22043100615726002,-0.24375,0.46974947078209456,1037
2013-02-23,0.1980952105889901,-0.24375,0.4474136752138244,1079
2013-02-24,0.04963152478070826,0.25625,0.7989499894055425,396
