,u,b,score,ranking
2013-01-01,-0.15100000000000002,0.051,0.6872700594236812,604
2013-01-02,0.19375,-0.29375,0.4753571532049581,1023
2013-01-03,-0.05,-0.05,0.36599697090570255,1246
2013-01-04,-0.05,-0.05,0.2993292420985183,1399
2013-01-05,-0.15100000000000002,0.051,0.5780093202212182,808
2013-01-06,-0.15100000000000002,0.051,0.5779972601681014,809
2013-01-07,-0.15100000000000002,0.051,0.5290418060840998,912
2013-01-08,0.59275,0.30724999999999997,0.9330880728874675,138
2013-01-09,-0.15100000000000002,0.051,0.8005575058716043,393
2013-01-10,-0.15100000000000002,0.051,0.8540362888980227,285
2013-01-11,-0.15100000000000002,0.051,0.5102922471479012,956
2013-01-12,0.19375,-0.29375,0.48495492608099716,1006
2013-01-13,0.59275,0.30724999999999997,0.9162213204002109,162
2013-01-14,-0.05,-0.05,0.10616955533913808,1770
2013-01-15,-0.05,-0.05,0.09091248360355031,1800
2013-01-16,-0.15100000000000002,0.051,0.5917022549267169,777
2013-01-17,-0.15100000000000002,0.051,0.6521211214797689,668
2013-01-18,-0.05,-0.05,0.2623782158161189,1467
2013-01-19,-0.05,-0.05,0.21597250932105788,1562
2013-01-20,-0.15100000000000002,0.051,0.645614570099021,674
2013-01-21,-0.15100000000000002,0.051,0.8059264473611898,382
2013-01-22,-0.05,-0.05,0.06974693032602092,1850
2013-01-23,-0.15100000000000002,0.051,0.6460723242676091,673
2013-01-24,-0.15100000000000002,0.051,0.6831809216468459,613
2013-01-25,-0.15100000000000002,0.051,0.728034992108518,539
2013-01-26,-0.05,-0.05,0.3925879806965068,1192
2013-01-27,-0.05,-0.05,0.09983689107917987,1784
2013-01-28,-0.05,-0.05,0.2571172192068058,1477
2013-01-29,-0.15100000000000002,0.051,0.7962072844310213,404
2013-01-30,-0.15100000000000002,0.051,0.5232252063599989,921
2013-01-31,-0.05,-0.05,0.3037724259507192,1390
2013-02-01,-0.05,-0.05,0.08526206184364576,1819
2013-02-02,-0.05,-0.05,0.03252579649263976,1937
2013-02-03,0.59275,0.30724999999999997,0.9744427686266666,59
2013-02-04,0.19375,-0.29375,0.4828160165372797,1010
2013-02-05,0.19375,-0.29375,0.40419867405823057,1168
2013-02-06,-0.15100000000000002,0.051,0.6523068845866853,667
2013-02-07,-0.15100000000000002,0.051,0.5488360570031919,868
2013-02-08,-0.15100000000000002,0.051,0.8421165132560784,305
2013-02-09,-0.05,-0.05,0.22007624686980065,1548
2013-02-10,-0.15100000000000002,0.051,0.5610191174223894,836
2013-02-11,-0.15100000000000002,0.051,0.7475884550556351,505
2013-02-12,-0.05,-0.05,0.017194260557609198,1970
2013-02-13,0.59275,0.30724999999999997,0.954660201039391,95
2013-02-14,-0.05,-0.05,0.12938999080000846,1730
2013-02-15,-0.05,-0.05,0.331261142176991,1325
2013-02-16,-0.15100000000000002,0.051,0.6558555380447055,663
2013-02-17,-0.15100000000000002,0.051,0.7600340105889054,479
2013-02-18,-0.15100000000000002,0.051,0.7733551396716398,443
2013-02-19,-0.15100000000000002,0.051,0.5924272277627636,776
2013-02-20,0.59275,0.30724999999999997,0.9847923138822793,32
2013-02-21,-0.15100000000000002,0.051,0.8875664116805573,227
2013-02-22,0.19375,-0.29375,0.46974947078209456,1037
2013-02-23,0.19375,-0.29375,0.4474136752138244,1079
2013-02-24,-0.15100000000000002,0.051,0.7989499894055425,396
2013-02-25,0.19375,-0.29375,0.4609371175115584,1056
2013-02-26,-0.15100000000000002,0.051,0.5442462510259598,881
2013-02-27,-0.05,-0.05,0.0979914312095726,1787
2013-02-28,-0.05,-0.05,0.022613644455269033,1954
2013-03-01,-0.05,-0.05,0.16266516538163217,1668
2013-03-02,-0.15100000000000002,0.051,0.6943386448447411,587
2013-03-03,-0.05,-0.05,0.13567451588694796,1720
2013-03-04,0.59275,0.30724999999999997,0.9143687545759647,167
2013-03-05,-0.05,-0.05,0.17837666334679464,1636
2013-03-06,-0.05,-0.05,0.14046725484369038,1710
2013-03-07,-0.05,-0.05,0.27134804157912423,1453
2013-03-08,-0.05,-0.05,0.07046211248738132,1845
2013-03-09,0.19375,-0.29375,0.40109849037701983,1175
2013-03-10,-0.15100000000000002,0.051,0.5372753218398854,899
2013-03-11,0.59275,0.30724999999999997,0.9934434683002586,16
2013-03-12,-0.05,-0.05,0.3861223846483287,1204
2013-03-13,-0.05,-0.05,0.0993578407670862,1785
2013-03-14,-0.05,-0.05,0.0027610585618011996,1998
2013-03-15,0.19375,-0.29375,0.4077307142274171,1159
2013-03-16,-0.15100000000000002,0.051,0.8534286719238086,287
2013-03-17,-0.05,-0.05,0.36450358402049365,1250
2013-03-18,-0.15100000000000002,0.051,0.8856351733429728,230
